location_key,district,region,population_density,terrain_type,distance_to_nearest_health_center,regional_health_policy
2348,North Noahstad,East,721,Hilly,43.79298682790671,Policy B
2349,Herrerafurt,Far North,512,Mountainous,28.411418078642445,Policy C
2350,New Jessica,North,641,Hilly,26.063994924189664,Policy B
2351,Lake Roberto,East,359,Hilly,36.485407016657334,Policy B
2352,Lake Roberto,Northwest,135,Mountainous,29.201794794913972,Policy A
2353,Lake Debra,Adamawa,141,Hilly,8.544524415477209,Policy C
2354,Port Jesseville,Littoral,709,Flat,33.87278233181402,Policy A
2355,Lake Debra,Southwest,722,Flat,7.1067095244653595,Policy C
2356,Port Keith,Adamawa,763,Hilly,40.38995641403607,Policy C
2357,New Jessica,East,985,Flat,49.49196158675741,Policy B
2358,Herrerafurt,North,977,Mountainous,19.180687436251425,Policy A
2359,Lake Chad,Center,291,Hilly,22.515416960999623,Policy B
2360,West Michael,Far North,914,Hilly,2.7984659463992094,Policy A
2361,Port Jesseville,Adamawa,51,Mountainous,1.1797928100876252,Policy B
2362,West Michael,North,274,Hilly,46.11025707637822,Policy B
2363,Lisatown,Far North,850,Mountainous,6.866890991740007,Policy C
2364,Lake Roberto,North,794,Hilly,22.56604800419378,Policy A
2365,New Jessica,Northwest,975,Mountainous,40.860053880850295,Policy C
2366,New Roberttown,Northwest,978,Hilly,44.521278616451816,Policy B
2367,Ramirezstad,Center,638,Hilly,26.210185421531648,Policy A
2368,Port Keith,Southwest,165,Hilly,28.469109986309515,Policy C
2369,Ramirezstad,Far North,715,Flat,33.64935663693199,Policy A
2370,Herrerafurt,Adamawa,967,Mountainous,48.088432272113906,Policy A
2371,New Roberttown,North,152,Flat,30.332163066753,Policy B
2372,Jacquelineland,Littoral,243,Mountainous,28.194025343089137,Policy A
2373,East Jessetown,North,215,Flat,1.2194396956665385,Policy B
2374,East Jill,Adamawa,920,Mountainous,4.507010250106625,Policy A
2375,West Michael,Northwest,139,Flat,29.069995517887815,Policy A
2376,Ramirezstad,Littoral,735,Hilly,46.84389919645656,Policy C
2377,Lisatown,Adamawa,171,Flat,43.40122174577005,Policy C
2378,Jacquelineland,Adamawa,192,Flat,49.13765668811413,Policy B
2379,West Michael,East,155,Hilly,26.627784859283064,Policy A
2380,Lake Debra,East,936,Flat,39.50258145266946,Policy A
2381,Robinsonshire,Southwest,477,Mountainous,42.099816408722354,Policy C
2382,Cassandraton,Northwest,354,Hilly,32.57756703787766,Policy A
2383,Ramirezstad,Adamawa,921,Mountainous,17.268120258618108,Policy B
2384,Port Keith,Adamawa,366,Mountainous,23.763932515560825,Policy C
2385,East Jessetown,Littoral,684,Hilly,42.9668950760566,Policy C
2386,Lisatown,Southwest,951,Hilly,15.278122336117116,Policy A
2387,Jacquelineland,Adamawa,58,Flat,46.225284997699106,Policy B
2388,Port Jesseville,Northwest,823,Flat,11.875413900421922,Policy A
2389,New Roberttown,Littoral,122,Flat,37.60106255026064,Policy A
2390,Ramirezstad,Southwest,408,Hilly,31.712682100114048,Policy A
2391,Port Keith,Northwest,272,Hilly,37.60517233547773,Policy A
2392,East Jill,Center,465,Flat,22.148704835413444,Policy C
2393,Port Keith,Center,602,Hilly,46.66573259642224,Policy A
2394,Lake Debra,Southwest,419,Flat,31.80737401936813,Policy A
2395,Ramirezstad,Center,765,Hilly,14.770642325435686,Policy A
2396,Lake Chad,East,313,Mountainous,32.10352599728111,Policy A
2397,Port Keith,Center,889,Hilly,14.697379486748044,Policy C
2398,Jacquelineland,North,739,Mountainous,15.034803392113773,Policy C
2399,East Jill,Southwest,909,Hilly,20.28012632523296,Policy A
2400,West Michael,Adamawa,367,Mountainous,42.69530566967139,Policy B
2401,Port Keith,Far North,133,Flat,25.264744782502603,Policy B
2402,North Noahstad,East,367,Flat,34.105591690395265,Policy B
2403,North Judithbury,Northwest,160,Flat,19.902403143585918,Policy A
2404,New Kellystad,East,300,Flat,13.548469270440632,Policy B
2405,Ericmouth,Adamawa,432,Hilly,47.754687955453456,Policy C
2406,North Judithbury,Littoral,56,Mountainous,30.3772717325916,Policy A
2407,Lisatown,Littoral,508,Hilly,46.73059125984455,Policy B
2408,Jacquelineland,East,133,Hilly,10.568943608816594,Policy C
2409,New Roberttown,Far North,257,Mountainous,7.771261113690171,Policy B
2410,East Jill,East,949,Mountainous,42.86323390263323,Policy C
2411,Lake Chad,Adamawa,439,Hilly,34.20540202455395,Policy A
2412,Herrerafurt,Littoral,363,Flat,9.735635713055247,Policy C
2413,New Roberttown,Northwest,71,Hilly,13.83330518284512,Policy A
2414,West Michael,Adamawa,459,Hilly,40.1328651055029,Policy B
2415,East Jill,Littoral,944,Mountainous,22.966496689798838,Policy C
2416,New Roberttown,North,564,Flat,33.6917550720515,Policy B
2417,Port Jesseville,Littoral,176,Flat,16.25842509573254,Policy C
2418,East Jill,Southwest,858,Hilly,19.370882662356397,Policy A
2419,North Noahstad,Littoral,749,Mountainous,49.540271651843696,Policy A
2420,Lake Chad,North,923,Mountainous,12.757045815148567,Policy B
2421,Robinsonshire,Northwest,63,Hilly,25.569590663307444,Policy B
2422,Lake Debra,North,61,Hilly,42.29791598793135,Policy C
2423,Lake Chad,Adamawa,136,Mountainous,12.34154907645997,Policy B
2424,Herrerafurt,East,573,Flat,21.053080955874368,Policy B
2425,New Kellystad,Littoral,958,Flat,30.94701872481442,Policy A
2426,Port Keith,North,586,Flat,24.318813498017576,Policy C
2427,New Kellystad,Center,350,Mountainous,23.245362195230715,Policy B
2428,New Kellystad,Far North,292,Mountainous,18.44423170044512,Policy A
2429,New Roberttown,Littoral,171,Mountainous,29.538993224858793,Policy A
2430,West Michael,North,196,Hilly,31.40644854721871,Policy C
2431,Lake Debra,Southwest,616,Flat,32.83783227461745,Policy B
2432,Herrerafurt,Center,799,Mountainous,3.983221341348451,Policy A
2433,East Jessetown,Center,405,Mountainous,31.73619169774642,Policy B
2434,Robinsonshire,Southwest,734,Flat,47.68524034967103,Policy C
2435,West Michael,Northwest,953,Mountainous,27.27881865864014,Policy A
2436,New Kellystad,Far North,782,Flat,35.90572058420759,Policy A
2437,Ramirezstad,Southwest,680,Hilly,28.05824923408128,Policy B
2438,Lake Debra,Southwest,358,Flat,42.80966062030294,Policy B
2439,Lake Roberto,Adamawa,744,Flat,46.514363182579665,Policy B
2440,North Judithbury,East,337,Mountainous,9.618885015169784,Policy C
2441,North Judithbury,Northwest,356,Hilly,22.124571809577766,Policy C
2442,North Noahstad,East,861,Flat,19.922913996169704,Policy B
2443,Port Keith,Northwest,643,Hilly,20.558148603314294,Policy B
2444,West Michael,East,963,Flat,6.713446970779857,Policy C
2445,Lake Chad,Adamawa,772,Hilly,40.7739784360456,Policy B
2446,West Michael,Northwest,711,Mountainous,2.270429029239295,Policy B
2447,New Kellystad,Southwest,598,Mountainous,26.647217082494265,Policy A
2448,Lake Roberto,Littoral,401,Hilly,33.26298020821221,Policy A
2449,Lake Roberto,Southwest,361,Mountainous,10.76973718391442,Policy A
2450,Port Keith,Center,922,Mountainous,45.33958450889038,Policy C
2451,Herrerafurt,Far North,108,Flat,42.00818574772726,Policy C
2452,Lake Debra,Littoral,692,Mountainous,23.818644609454303,Policy C
2453,Ericmouth,East,973,Flat,20.851872150836865,Policy A
2454,Lisatown,Southwest,763,Mountainous,12.210112297949452,Policy B
2455,East Jessetown,Northwest,804,Mountainous,36.6346646199257,Policy A
2456,East Jill,Center,84,Hilly,7.021318081782225,Policy B
2457,Lake Chad,Far North,494,Mountainous,34.171768815267264,Policy B
2458,New Jessica,Adamawa,142,Hilly,42.20162081286147,Policy B
2459,North Judithbury,Far North,999,Mountainous,11.809343007892673,Policy A
2460,Lake Roberto,Southwest,256,Flat,43.388156443488434,Policy C
2461,Lisatown,North,402,Hilly,2.1494983722556684,Policy A
2462,New Roberttown,East,952,Hilly,45.682975576633005,Policy B
2463,East Jessetown,Northwest,381,Hilly,6.358930278639252,Policy A
2464,New Jessica,Adamawa,866,Flat,32.46507930793261,Policy B
2465,East Jill,Southwest,911,Hilly,12.879082211240119,Policy B
2466,Port Keith,Adamawa,774,Flat,41.90934336289588,Policy B
2467,New Jessica,East,208,Flat,25.85886786531559,Policy A
2468,East Jill,East,73,Flat,7.194438966701817,Policy B
2469,Lake Roberto,Far North,453,Flat,28.76408278063593,Policy B
2470,East Jill,North,854,Flat,20.690189204750666,Policy A
2471,New Kellystad,East,565,Flat,33.24166692234851,Policy B
2472,Port Keith,Adamawa,781,Hilly,44.15421259579124,Policy C
2473,Lake Roberto,Littoral,413,Hilly,20.764761993579214,Policy B
2474,West Michael,Southwest,431,Flat,14.849093636926053,Policy C
2475,Lisatown,Littoral,581,Mountainous,1.2184971791166355,Policy C
2476,East Jill,Adamawa,201,Mountainous,28.954532374063806,Policy C
2477,Lake Debra,Far North,611,Hilly,20.41260098785596,Policy B
2478,Ramirezstad,East,738,Flat,19.045136341234024,Policy C
2479,North Noahstad,North,996,Mountainous,9.55529840356852,Policy B
2480,Lake Roberto,Southwest,657,Flat,21.78773958696808,Policy A
2481,Jacquelineland,Far North,666,Flat,49.22987670237673,Policy C
2482,Cassandraton,Littoral,469,Flat,15.238830606776094,Policy A
2483,Jacquelineland,Northwest,299,Flat,30.18536846370096,Policy A
2484,New Jessica,East,166,Mountainous,38.936100625125505,Policy A
2485,Cassandraton,North,915,Hilly,37.58331224723832,Policy C
2486,Lake Roberto,Littoral,561,Flat,16.77432723088324,Policy C
2487,North Noahstad,North,789,Hilly,30.737574134084095,Policy A
2488,Lake Debra,Far North,627,Mountainous,43.627601920872785,Policy A
2489,Ramirezstad,Northwest,384,Mountainous,1.2646476727873583,Policy A
2490,Lake Roberto,East,467,Mountainous,22.068850663743728,Policy A
2491,Lake Chad,East,981,Hilly,11.60153420297431,Policy A
2492,North Noahstad,Far North,823,Flat,19.73729837474253,Policy B
2493,Ericmouth,Southwest,344,Flat,21.09148559477446,Policy A
2494,East Jill,Center,987,Hilly,37.46021275693853,Policy A
2495,West Michael,Adamawa,804,Flat,5.144182683574436,Policy C
2496,Jacquelineland,Adamawa,420,Flat,25.872903205059266,Policy C
2497,Robinsonshire,Southwest,235,Mountainous,28.427642194037894,Policy B
2498,Lake Chad,Far North,295,Mountainous,24.960801375814317,Policy C
2499,West Michael,Center,686,Mountainous,36.72772602660464,Policy B
2500,Port Jesseville,North,317,Mountainous,19.497667167388943,Policy B
2501,East Jill,Adamawa,692,Hilly,47.275869650183765,Policy A
2502,Herrerafurt,North,286,Flat,24.349270405677597,Policy C
2503,New Kellystad,Far North,579,Flat,28.77508852593248,Policy C
2504,Ramirezstad,Far North,601,Flat,41.36377575566409,Policy C
2505,Cassandraton,East,70,Flat,14.124187243590562,Policy A
2506,Lake Chad,Far North,960,Flat,4.2225004237587225,Policy C
2507,Lake Chad,Far North,786,Mountainous,35.53530692894289,Policy B
2508,Lake Debra,Adamawa,916,Flat,24.409086849644744,Policy C
2509,North Noahstad,Center,843,Flat,44.87696042247024,Policy C
2510,New Kellystad,Adamawa,569,Mountainous,49.14266241176049,Policy B
2511,Robinsonshire,East,149,Hilly,20.255912853449093,Policy A
2512,West Michael,Southwest,801,Mountainous,21.064231304853212,Policy C
2513,Port Jesseville,North,527,Mountainous,20.69414880918346,Policy B
2514,Lake Roberto,Center,648,Mountainous,16.565428431680843,Policy A
2515,Lake Roberto,Adamawa,347,Mountainous,39.193511339436675,Policy C
2516,North Noahstad,East,989,Flat,38.07029024329102,Policy A
2517,Lake Debra,Far North,575,Flat,24.19292109225098,Policy B
2518,Port Keith,Southwest,383,Flat,2.710730210755488,Policy A
2519,East Jill,Northwest,51,Hilly,15.823185424897135,Policy B
2520,West Michael,Southwest,424,Flat,14.969000804464457,Policy C
2521,Lake Chad,Littoral,342,Flat,40.64881868691279,Policy B
2522,Lake Chad,North,886,Flat,4.834990884100649,Policy B
2523,West Michael,Northwest,983,Hilly,40.380931262613856,Policy A
2524,Ramirezstad,Center,602,Hilly,33.62459078385758,Policy C
2525,Lake Debra,Center,367,Flat,36.75585222695724,Policy A
2526,New Kellystad,Far North,551,Flat,21.89455278545866,Policy B
2527,Lake Roberto,Littoral,877,Flat,34.14642690208703,Policy C
2528,Ericmouth,North,430,Mountainous,30.646932762992332,Policy C
2529,Lisatown,North,672,Hilly,38.56451966381716,Policy B
2530,Cassandraton,Littoral,63,Mountainous,22.61510680617848,Policy B
2531,New Roberttown,Center,553,Flat,23.90486843236697,Policy B
2532,Port Keith,Southwest,280,Mountainous,32.3570230256211,Policy A
2533,Herrerafurt,North,133,Hilly,5.849835936486221,Policy B
2534,New Roberttown,Southwest,179,Mountainous,22.094100194033707,Policy A
2535,West Michael,Northwest,792,Mountainous,48.611566840360375,Policy A
2536,Lisatown,Far North,887,Hilly,2.3588398429722575,Policy A
2537,East Jill,Southwest,194,Flat,16.142233781886492,Policy A
2538,Ericmouth,Adamawa,940,Mountainous,16.048436044923854,Policy C
2539,New Kellystad,Northwest,906,Flat,31.856473902170745,Policy C
2540,New Jessica,North,77,Mountainous,5.737117791494925,Policy C
2541,New Jessica,North,115,Hilly,31.612929528503624,Policy A
2542,East Jill,Far North,212,Flat,5.204491912255161,Policy B
2543,New Roberttown,Southwest,278,Hilly,5.200205547207385,Policy A
2544,Lisatown,Southwest,310,Mountainous,36.545076180829874,Policy A
2545,Jacquelineland,Center,498,Mountainous,16.54469110472342,Policy B
2546,West Michael,Center,473,Mountainous,48.88243591183052,Policy A
2547,Lisatown,Center,509,Flat,2.348970353559969,Policy C
2548,Port Jesseville,Littoral,725,Mountainous,22.532779854040708,Policy A
2549,Lisatown,Far North,350,Mountainous,6.10022891486417,Policy A
2550,Cassandraton,East,968,Hilly,17.89325885452638,Policy C
2551,North Noahstad,Center,352,Flat,49.912011305148006,Policy B
2552,North Judithbury,Northwest,336,Mountainous,44.49770433105732,Policy B
2553,Lisatown,Adamawa,444,Mountainous,2.892058238342147,Policy B
2554,Lisatown,Adamawa,59,Hilly,28.38116426937133,Policy C
2555,East Jessetown,Center,756,Mountainous,32.56720408880957,Policy A
2556,Port Jesseville,Southwest,679,Hilly,10.87196388553122,Policy A
2557,Lake Roberto,Southwest,319,Mountainous,7.682725883124287,Policy A
2558,New Jessica,Center,641,Hilly,45.266866165943405,Policy A
2559,Lisatown,Adamawa,654,Hilly,48.456413853427144,Policy C
2560,New Kellystad,Littoral,827,Flat,49.59869643732227,Policy A
2561,Lake Roberto,Far North,893,Mountainous,39.59320779986441,Policy C
2562,West Michael,Far North,911,Flat,33.34335243556023,Policy C
2563,Cassandraton,Northwest,410,Flat,17.613647483553397,Policy C
2564,North Noahstad,Adamawa,306,Flat,8.984216460075245,Policy A
2565,New Kellystad,Littoral,182,Hilly,4.409539668628469,Policy A
2566,Port Keith,Littoral,325,Hilly,34.81822469329885,Policy C
2567,West Michael,Littoral,825,Flat,39.34380905137824,Policy B
2568,Herrerafurt,Far North,732,Hilly,41.40945579652151,Policy B
2569,North Noahstad,Center,562,Mountainous,45.73136766353803,Policy B
2570,Ericmouth,Center,362,Flat,44.05651340009949,Policy B
2571,Herrerafurt,Northwest,625,Mountainous,49.98719297677558,Policy B
2572,Ramirezstad,Littoral,935,Flat,12.581168542878938,Policy A
2573,Port Jesseville,Far North,333,Flat,38.283726953004425,Policy B
2574,Port Keith,Southwest,170,Hilly,29.529745862552485,Policy B
2575,East Jessetown,Adamawa,156,Flat,13.431634056452328,Policy C
2576,Port Jesseville,North,982,Mountainous,49.10431345320367,Policy B
2577,Cassandraton,Far North,736,Mountainous,44.94595618632548,Policy C
2578,Lisatown,Center,253,Mountainous,6.861525587983763,Policy A
2579,Herrerafurt,Adamawa,214,Hilly,1.7948379450092824,Policy C
2580,Cassandraton,Adamawa,354,Mountainous,34.5723727354675,Policy C
2581,Lake Chad,East,546,Mountainous,30.40446612839849,Policy A
2582,East Jill,Southwest,681,Flat,46.82287339350172,Policy A
2583,Jacquelineland,Littoral,605,Hilly,12.083261714438306,Policy B
2584,Lake Roberto,Adamawa,873,Flat,4.677203420801859,Policy B
2585,Lake Debra,East,205,Hilly,13.33115902171333,Policy B
2586,North Judithbury,Far North,416,Mountainous,1.4369182053174407,Policy A
2587,Ericmouth,Adamawa,768,Flat,2.2766911838521553,Policy B
2588,West Michael,Far North,951,Mountainous,45.7854613930776,Policy B
2589,Jacquelineland,Littoral,669,Flat,17.924820833842976,Policy C
2590,Jacquelineland,Southwest,300,Hilly,20.835045549979192,Policy C
2591,Lake Chad,Far North,965,Flat,1.4093968996361683,Policy A
2592,North Noahstad,Adamawa,931,Hilly,13.890828118506406,Policy A
2593,Lake Debra,East,383,Flat,40.333936195200835,Policy B
2594,Lisatown,Adamawa,691,Hilly,30.9668025035026,Policy A
2595,Cassandraton,Southwest,560,Flat,37.81213975377756,Policy B
2596,Lake Roberto,Far North,342,Mountainous,22.63708016929236,Policy C
2597,New Kellystad,Center,69,Mountainous,15.831596476690835,Policy C
2598,Jacquelineland,East,331,Mountainous,24.39909961975433,Policy C
2599,Lake Roberto,Far North,846,Flat,16.492017886084682,Policy B
2600,Port Jesseville,North,50,Mountainous,42.02906928536637,Policy B
2601,West Michael,Littoral,168,Hilly,15.234848921845863,Policy B
2602,Cassandraton,East,84,Flat,33.15830020242765,Policy A
2603,Ericmouth,Southwest,247,Flat,7.280620004321628,Policy A
2604,Port Jesseville,Center,534,Flat,34.49989143987804,Policy A
2605,Port Jesseville,Far North,806,Mountainous,45.708335724201675,Policy C
2606,Port Keith,Southwest,108,Mountainous,30.624866154675463,Policy B
2607,Robinsonshire,East,886,Mountainous,28.212841311706622,Policy A
2608,Herrerafurt,North,210,Mountainous,48.07535426707119,Policy B
2609,Robinsonshire,East,740,Hilly,31.556129488134395,Policy C
2610,Lake Debra,Littoral,255,Hilly,13.347746447017588,Policy B
2611,West Michael,Adamawa,61,Hilly,14.97335568046315,Policy B
2612,Port Jesseville,North,539,Hilly,35.4126788055284,Policy C
2613,Robinsonshire,Northwest,325,Flat,36.90411139766322,Policy C
2614,West Michael,Littoral,742,Mountainous,15.523063473556252,Policy A
2615,East Jill,Littoral,291,Flat,17.594526907353345,Policy A
2616,Ramirezstad,Northwest,265,Hilly,49.557297182584804,Policy A
2617,East Jill,Southwest,300,Hilly,5.546651204223734,Policy C
2618,New Roberttown,East,860,Flat,20.529928907784917,Policy B
2619,East Jill,Southwest,175,Flat,3.591152794276619,Policy C
2620,North Judithbury,Littoral,266,Hilly,41.14337891891293,Policy B
2621,Lake Chad,Northwest,355,Hilly,5.071119027798896,Policy A
2622,Lake Debra,Far North,846,Mountainous,33.8633641449042,Policy A
2623,Lake Roberto,East,234,Flat,3.2959294881723618,Policy C
2624,New Roberttown,Southwest,88,Flat,33.80632437157971,Policy C
2625,Lake Debra,Center,272,Flat,42.23032887292131,Policy A
2626,North Judithbury,East,233,Hilly,20.24166558274084,Policy B
2627,Lisatown,Adamawa,544,Mountainous,26.345261424892755,Policy C
2628,Ramirezstad,Far North,476,Flat,20.37631603126148,Policy C
2629,Port Keith,Adamawa,227,Mountainous,15.374193552315626,Policy C
2630,Herrerafurt,North,968,Mountainous,40.26153833104284,Policy A
2631,East Jill,Northwest,477,Mountainous,13.964127399683989,Policy B
2632,New Jessica,Center,343,Mountainous,36.28569950727763,Policy A
2633,New Jessica,North,901,Hilly,10.706755423132511,Policy A
2634,Port Jesseville,Far North,200,Hilly,12.867762905877314,Policy B
2635,Port Jesseville,Center,433,Hilly,17.15482754757201,Policy B
2636,North Judithbury,Adamawa,687,Mountainous,29.663240680992516,Policy B
2637,North Judithbury,Southwest,862,Flat,22.993904798397285,Policy C
2638,West Michael,East,357,Flat,37.384668086477106,Policy A
2639,West Michael,East,385,Flat,11.071581366641519,Policy A
2640,Lake Chad,North,995,Mountainous,1.0282782485172888,Policy A
2641,North Judithbury,Southwest,795,Hilly,38.93959485336839,Policy B
2642,North Judithbury,North,941,Mountainous,41.171642027063584,Policy B
2643,Ramirezstad,East,424,Hilly,3.444268073865283,Policy A
2644,Ericmouth,East,57,Flat,30.739922346840626,Policy B
2645,West Michael,Littoral,390,Flat,19.22123580171736,Policy C
2646,North Noahstad,Littoral,178,Flat,39.79783493212858,Policy C
2647,North Judithbury,Far North,825,Hilly,43.78352043272569,Policy C
2648,Ramirezstad,Littoral,718,Flat,42.62468645646383,Policy B
2649,Lake Chad,Far North,401,Flat,38.97161024386718,Policy C
2650,Robinsonshire,Northwest,407,Flat,13.818085322737065,Policy C
2651,East Jessetown,Center,566,Hilly,40.68853735663168,Policy A
2652,East Jessetown,Northwest,544,Mountainous,26.90718455736149,Policy C
2653,Ramirezstad,Littoral,135,Flat,3.1114524341884957,Policy C
2654,Lake Debra,Northwest,224,Hilly,23.118473069963322,Policy B
2655,Lake Roberto,Southwest,851,Mountainous,47.13681689298467,Policy A
2656,Lisatown,East,242,Mountainous,44.44903781190986,Policy A
2657,New Jessica,Littoral,360,Hilly,5.562081909357244,Policy B
2658,Ramirezstad,Center,168,Mountainous,37.33427094286132,Policy A
2659,Ericmouth,Far North,267,Hilly,40.38674686493262,Policy C
2660,Herrerafurt,East,476,Hilly,13.933715317719859,Policy A
2661,Ericmouth,Northwest,463,Hilly,23.84462425168407,Policy C
2662,New Kellystad,East,163,Hilly,35.6939031024523,Policy B
2663,New Roberttown,Northwest,194,Mountainous,22.23255369664682,Policy B
2664,Herrerafurt,Far North,587,Hilly,6.083447483895559,Policy C
2665,New Kellystad,Far North,697,Flat,35.441181011745215,Policy B
2666,Port Keith,Center,352,Hilly,45.62611514189752,Policy C
2667,Jacquelineland,Adamawa,793,Hilly,32.7979940561048,Policy A
2668,Lake Roberto,Littoral,930,Mountainous,38.80313705416718,Policy A
2669,Lake Roberto,Far North,637,Mountainous,18.23894551506251,Policy C
2670,North Noahstad,Adamawa,889,Hilly,9.568313133768426,Policy A
2671,New Roberttown,Adamawa,394,Flat,32.31729625010548,Policy B
2672,East Jill,North,863,Hilly,16.724674689140336,Policy A
2673,New Roberttown,North,850,Mountainous,43.07363918999474,Policy C
2674,New Kellystad,Northwest,50,Mountainous,6.570088473911325,Policy A
2675,New Kellystad,Northwest,196,Flat,21.956453136789623,Policy A
2676,New Kellystad,Adamawa,336,Flat,20.1380162231851,Policy A
2677,West Michael,Southwest,703,Mountainous,46.933665750919516,Policy C
2678,Port Jesseville,North,102,Hilly,8.080172629917993,Policy A
2679,East Jill,Adamawa,353,Mountainous,0.9874178380945421,Policy C
2680,North Judithbury,East,118,Mountainous,12.28521803395232,Policy C
2681,Robinsonshire,East,410,Flat,41.1037045585484,Policy C
2682,New Roberttown,Southwest,651,Flat,10.861429894327344,Policy B
2683,Port Jesseville,North,269,Hilly,12.423464153421394,Policy A
2684,Lake Chad,Northwest,753,Flat,6.929990824572134,Policy A
2685,Cassandraton,Northwest,624,Mountainous,35.91409206218875,Policy A
2686,Jacquelineland,East,634,Flat,3.92412243001815,Policy C
2687,East Jessetown,Center,210,Hilly,16.89481096526182,Policy A
2688,Ramirezstad,North,730,Hilly,14.483686967737745,Policy C
2689,East Jill,Far North,138,Flat,27.980406624612662,Policy B
2690,Lake Roberto,Northwest,737,Hilly,36.65560511847691,Policy A
2691,Lisatown,Northwest,830,Flat,26.877383517488997,Policy B
2692,Jacquelineland,East,634,Flat,46.585786652265845,Policy C
2693,Port Jesseville,Littoral,806,Hilly,47.59641062492293,Policy C
2694,Ericmouth,Center,638,Flat,18.392533760676514,Policy A
2695,East Jill,Adamawa,208,Flat,38.99517862560719,Policy B
2696,New Roberttown,Southwest,538,Flat,37.07066847177539,Policy C
2697,Ericmouth,Southwest,373,Hilly,44.701747289388955,Policy B
2698,West Michael,Littoral,659,Flat,22.673210190281313,Policy C
2699,Jacquelineland,East,430,Mountainous,26.758422766290717,Policy A
2700,East Jill,North,151,Mountainous,21.080828522287913,Policy C
2701,Robinsonshire,Littoral,543,Hilly,42.59365750533543,Policy A
2702,Cassandraton,Center,693,Flat,11.870264610425652,Policy B
2703,North Judithbury,East,663,Hilly,12.365599373001013,Policy C
2704,Lisatown,Northwest,68,Flat,18.94395262706545,Policy C
2705,Jacquelineland,Littoral,503,Mountainous,11.901970189066384,Policy B
2706,Lake Debra,North,531,Mountainous,28.26983840253858,Policy B
2707,New Kellystad,Southwest,643,Mountainous,7.157260271527364,Policy A
2708,New Roberttown,North,446,Flat,16.349217860500737,Policy A
2709,North Noahstad,Center,328,Mountainous,45.715512574541705,Policy B
2710,Robinsonshire,Southwest,900,Mountainous,20.7566612694939,Policy A
2711,Jacquelineland,Adamawa,414,Flat,37.53756896642871,Policy C
2712,Lake Roberto,Adamawa,380,Mountainous,6.116378489475413,Policy C
2713,Jacquelineland,Far North,690,Flat,12.754443153018341,Policy B
2714,New Kellystad,Adamawa,393,Hilly,40.46360824941824,Policy A
2715,West Michael,North,871,Mountainous,38.26815034633986,Policy B
2716,Cassandraton,Far North,504,Hilly,19.614717970394146,Policy C
2717,New Kellystad,Adamawa,650,Mountainous,47.74264665065698,Policy A
2718,Lake Debra,Southwest,774,Flat,45.57682928381,Policy A
2719,New Roberttown,Littoral,704,Flat,48.133887081055875,Policy B
2720,Ramirezstad,Northwest,114,Flat,21.681777164295376,Policy B
2721,Herrerafurt,Littoral,125,Flat,10.274942392441309,Policy B
2722,East Jill,Southwest,760,Hilly,31.51960263502138,Policy B
2723,East Jessetown,Adamawa,192,Flat,34.39627133482033,Policy C
2724,Lake Chad,Northwest,966,Mountainous,6.709368330300741,Policy A
2725,Lake Roberto,Adamawa,964,Hilly,39.43091019764734,Policy B
2726,New Roberttown,Littoral,877,Mountainous,1.393980878118046,Policy A
2727,Cassandraton,Northwest,654,Flat,24.395055180100776,Policy B
2728,New Jessica,Far North,522,Flat,16.885304844997297,Policy C
2729,New Jessica,North,466,Hilly,37.14500146500466,Policy B
2730,New Jessica,Adamawa,354,Flat,15.981656007379888,Policy A
2731,New Kellystad,East,785,Flat,41.426952082661124,Policy C
2732,Cassandraton,Southwest,546,Flat,29.95019769465012,Policy B
2733,North Judithbury,Northwest,340,Flat,39.79772140722257,Policy A
2734,Ericmouth,Center,989,Hilly,49.47236157306138,Policy B
2735,Port Keith,Southwest,151,Flat,34.11833811430606,Policy A
2736,Port Jesseville,Southwest,316,Hilly,49.25504065990138,Policy B
2737,Lake Roberto,Littoral,916,Hilly,1.9273981826244146,Policy C
2738,Herrerafurt,Northwest,671,Mountainous,17.23792942994852,Policy A
2739,West Michael,Northwest,891,Hilly,5.838736595834303,Policy C
2740,New Kellystad,Northwest,991,Mountainous,13.484094103529758,Policy C
2741,Lake Chad,East,826,Mountainous,42.024951006725836,Policy A
2742,Robinsonshire,Center,52,Hilly,2.1000016336414706,Policy C
2743,Jacquelineland,North,134,Mountainous,26.249055318753488,Policy A
2744,New Kellystad,Littoral,843,Hilly,28.572871022852464,Policy A
2745,New Roberttown,Center,377,Hilly,28.276981760261826,Policy B
2746,New Jessica,Northwest,865,Mountainous,24.027205154251156,Policy C
2747,North Noahstad,East,499,Flat,39.63484675610289,Policy C
2748,Lake Roberto,Far North,503,Flat,7.110382930524782,Policy B
2749,New Roberttown,East,973,Mountainous,15.873562269763973,Policy C
2750,New Roberttown,North,678,Mountainous,30.97843964553605,Policy B
2751,Ericmouth,Adamawa,270,Hilly,34.70209263026381,Policy A
2752,Lake Debra,Littoral,203,Flat,20.505347372964287,Policy C
2753,New Kellystad,Southwest,714,Hilly,43.83087753469804,Policy B
2754,Lake Debra,Far North,61,Mountainous,21.06692313644776,Policy C
2755,New Kellystad,Far North,182,Flat,20.437418650242492,Policy B
2756,Cassandraton,Far North,353,Flat,2.2922594436255554,Policy B
2757,Herrerafurt,East,342,Flat,27.781496141639323,Policy A
2758,East Jessetown,North,349,Hilly,35.579701506339305,Policy B
