worker_key,worker_id,worker_role,years_of_experience,certification_status,specialization,healthcare_facility_key
2453,bce008f0-662b-4d70-9082-b3944499f740,Midwife,29,Uncertified,Surgery,8931
2454,09fc9828-7be3-4151-98af-da08076bb877,Nurse,17,Uncertified,Surgery,6148
2455,1834e9cf-ca47-447c-a73d-432d91787529,Nurse,38,Certified,Surgery,7421
2456,54c35fcd-4e71-476a-ac13-0b4c7329666b,Midwife,25,Uncertified,General,9224
2457,7bb117bb-e645-49fa-ae96-a38f1339d8ad,Midwife,1,Certified,Pediatrics,7134
2458,c2255913-7779-4b5b-b297-de6adeb86e1b,Midwife,16,Uncertified,General,6429
2459,e26224bb-2101-487d-8a45-6ebbcc6cb94e,Nurse,12,Certified,Obstetrics,8331
2460,8e1c4473-34a4-4af8-aa5c-f0fa270edaaa,Nurse,11,Uncertified,Surgery,5552
2461,fc347d6e-b437-4902-8067-b6e00113047c,Midwife,10,Certified,Pediatrics,350
2462,4e2a592a-3ae1-49a6-b50e-7942599a0b6c,Midwife,3,Uncertified,Obstetrics,1264
2463,29838000-dfbc-4dde-813a-ad1873bde28f,Midwife,29,Certified,Obstetrics,9585
2464,22cfe7d0-a838-4bc6-b5df-f95a70bfe17b,Doctor,34,Uncertified,Surgery,2879
2465,ba80d52a-3089-460f-9cae-817052959b3f,Nurse,31,Uncertified,Surgery,8822
2466,eadb20ec-9e05-4195-8f2f-82a92615b034,Doctor,4,Certified,Obstetrics,4772
2467,a4f2ff61-968a-4745-a2d8-2b395a72bd95,Midwife,32,Uncertified,Surgery,3513
2468,448cc5a8-8838-4639-aebd-f74db0918574,Nurse,3,Uncertified,Obstetrics,6585
2469,796bd008-8e3d-4032-9064-2b33862dac07,Nurse,36,Certified,Pediatrics,728
2470,b570dfb7-5c5a-43a4-bc58-2c70c8a9c10f,Nurse,18,Certified,Pediatrics,5721
2471,fa7d0429-2cb5-485b-bfb4-b10980851f87,Nurse,38,Uncertified,Surgery,1348
2472,9e90f178-2be0-4091-b512-b62875657945,Nurse,22,Uncertified,General,1522
2473,30af44d0-f319-4236-a05c-3e2f9b912cbb,Nurse,5,Certified,General,6733
2474,56e636a4-b989-4050-a0ed-474e3707a3ac,Midwife,21,Certified,Pediatrics,8625
2475,af38e0b1-e449-4c67-b8fc-2ae6b359b0f1,Nurse,5,Certified,Surgery,6809
2476,b335049f-29d5-4d4a-8411-c747a0841d14,Nurse,26,Certified,General,3357
2477,e4ef8583-07ae-4c23-8143-7d71e6b137b4,Midwife,22,Certified,General,5354
2478,9348941f-3e20-4d68-9cc6-b2dcd0c9ae4e,Doctor,9,Certified,Pediatrics,2248
2479,6c76d0ef-aa7d-4c3e-a6a0-53a380c6851b,Midwife,22,Uncertified,Pediatrics,8421
2480,ccc6e826-9b3e-47ad-b6c0-03963208e490,Nurse,12,Uncertified,General,5105
2481,6255f721-c40a-4d0d-8eef-076d874c5653,Doctor,13,Certified,Surgery,6417
2482,443dbe6e-4937-44a0-88a1-93a449433607,Doctor,39,Certified,Obstetrics,9113
2483,3f9b33d4-7475-45fc-ad65-70df22a403c9,Doctor,20,Certified,Surgery,6599
2484,51b037db-3b86-47f9-8ea7-116295e5b29d,Midwife,5,Certified,Pediatrics,9699
2485,cbcadfe9-6495-4116-8240-702db90bcf55,Midwife,3,Certified,Pediatrics,5627
2486,b5c9f26a-2180-4ef6-98c8-1b2dad5229e2,Doctor,20,Uncertified,Obstetrics,9843
2487,8d963c7f-13d3-48fe-9a51-ca3f3d6001ce,Doctor,15,Certified,General,2182
2488,a958f1e9-6a93-4844-8d88-09a0bba8aff1,Doctor,28,Uncertified,Obstetrics,5974
2489,c9fe2250-2a80-44b3-a7bf-324a7437a0b0,Nurse,5,Uncertified,General,3950
2490,3fb9c537-792b-4356-a7d0-37b7f8a18c04,Nurse,30,Certified,General,2116
2491,ddd44f81-fb0a-464b-b92a-d086555f9eff,Nurse,14,Certified,Surgery,18
2492,db5cfc43-3c13-4d84-9497-728439ca99ae,Nurse,1,Certified,Surgery,873
2493,f0675391-00c2-462c-a51b-b6fc4fce0d18,Midwife,7,Certified,Pediatrics,3906
2494,0e78276d-2875-46ba-a17a-0f0463f328b4,Nurse,28,Uncertified,Obstetrics,4877
2495,6c93929d-6938-4b28-9ab7-5e9dda233423,Doctor,29,Certified,Surgery,4202
2496,c790396a-4529-4779-beef-94c631c64655,Midwife,8,Certified,Pediatrics,7054
2497,b0efa20b-4305-4924-9ddf-74940f21385d,Nurse,21,Certified,Pediatrics,9294
2498,5fd89dfd-1784-4b08-a218-e833e0a5a210,Doctor,38,Uncertified,General,8570
2499,41639896-323d-4faf-b091-0f5065fac328,Nurse,35,Uncertified,Surgery,8128
2500,57e700aa-fc25-415f-b064-9c85e1da674a,Doctor,27,Certified,Surgery,7317
2501,6a64ea57-dfa8-4de1-b8e8-24d32d5352d4,Doctor,12,Certified,Surgery,10
2502,ccb9dbe3-2bdc-4aa6-a6b1-de1336373ecd,Nurse,20,Uncertified,Surgery,3742
2503,6b6a41dd-8e7d-4640-8736-be22de65e548,Doctor,39,Certified,Surgery,7583
2504,31e8c914-3797-4892-a30b-7fcc2e941a91,Doctor,21,Certified,Obstetrics,2224
2505,488728cb-083b-4760-b599-47225d4bc01e,Doctor,19,Uncertified,Obstetrics,9013
2506,5cf2241f-5d22-48a4-842f-275546a3df9e,Midwife,13,Uncertified,Pediatrics,2256
2507,bd7d84f1-1e00-41dd-b773-369ccc9932b7,Doctor,3,Uncertified,Surgery,6534
2508,f17bd0e1-a704-47ed-a24f-b5b4e862f7bc,Midwife,34,Uncertified,Pediatrics,8961
2509,df0b1449-4559-4200-b411-17014e75a71d,Doctor,27,Uncertified,Pediatrics,3681
2510,15847ab5-25b5-454a-af1b-a0ea4a5d95a7,Nurse,18,Uncertified,Pediatrics,9495
2511,56ebb2a6-7799-4c15-9af1-daa613d6c9f7,Midwife,3,Uncertified,Surgery,5560
2512,43d582db-936b-4bf6-a3b0-47a543e011b5,Nurse,37,Uncertified,Obstetrics,9117
2513,551b6e87-9150-43ba-bddb-3f2b4b03ded9,Midwife,3,Uncertified,Pediatrics,1994
2514,2aace370-49f0-493a-a43c-4b447a619123,Midwife,38,Uncertified,Obstetrics,43
2515,a1bc1a16-14bf-487e-901d-91f7c3eb4e7b,Midwife,36,Uncertified,General,3473
2516,4c9dc93c-b7f5-43ac-880e-fb558de0f010,Doctor,17,Certified,General,5864
2517,c4adb29c-a01e-448d-9b36-0c5f2dfc59f1,Doctor,26,Uncertified,General,1778
2518,81736635-3cd5-47e5-a0e9-a9ad4cdd805d,Midwife,18,Uncertified,General,3576
2519,13189d8d-5df9-4218-a634-075f1c12b874,Nurse,21,Uncertified,General,8578
2520,1f7e009e-1c7a-43ca-9fc1-1d502952d269,Midwife,25,Uncertified,Surgery,2681
2521,45ea95d4-686a-4229-a8eb-ee25fa8c3f0e,Doctor,36,Certified,Obstetrics,2796
2522,9c46808d-a445-4aba-bdb9-fcffc09f5312,Doctor,33,Certified,General,5952
2523,a91ee2d3-406d-4b60-a6ee-6ade2c7381ab,Doctor,31,Certified,Surgery,6344
2524,962dc449-2d93-4909-89cc-48c8632c5487,Nurse,8,Uncertified,Obstetrics,5232
2525,fd9e54ce-8048-40be-a0e1-96dd98a2a6e3,Midwife,34,Certified,Pediatrics,7899
2526,70e0997e-40d0-4d24-ac6c-6cf971315c9c,Doctor,20,Certified,Pediatrics,8243
2527,36e36bc9-52bd-4d4d-b44c-d663ba7b0a7f,Doctor,37,Uncertified,Obstetrics,5490
2528,9e4a4adf-9f2c-417f-a84c-591fa6dd4af1,Midwife,26,Uncertified,Pediatrics,4630
2529,5fe98889-7eef-4777-a1d4-bdef873f7749,Doctor,25,Certified,Obstetrics,8240
2530,cfde0fd1-91e6-4e52-a528-5f17c3c1a61a,Nurse,29,Certified,Obstetrics,4957
2531,daa424f8-3d67-42df-9c31-b7451e45f86e,Nurse,24,Uncertified,General,7011
2532,50eae823-76f7-4d95-8fa7-df9b0089a1ea,Nurse,11,Certified,Pediatrics,1252
2533,5e5b841e-42d6-44e0-9e85-d0fecf3cc565,Midwife,7,Uncertified,General,715
2534,13467e7e-a6a2-415f-b1a1-72e3fb485114,Midwife,6,Uncertified,Surgery,7737
2535,db4c3e7c-3861-4aca-876e-a832cc041863,Midwife,24,Uncertified,General,4489
2536,919f3c71-e229-4732-bae8-4af147285438,Doctor,39,Certified,Obstetrics,7824
2537,e5ceac23-aff7-488d-aada-d07f2d6b89e7,Midwife,10,Certified,Obstetrics,658
2538,f5365ad2-56f0-4f7d-8c78-b2063c0f4a5e,Doctor,29,Certified,Pediatrics,3686
2539,8ec5c34e-e37e-4d6d-9011-7fee772d7864,Doctor,10,Uncertified,General,4459
2540,bd7a7c64-5304-42b4-8294-4d1d2be87dff,Midwife,5,Certified,Surgery,9249
2541,06950031-1383-4214-bf65-7a1e3252671d,Nurse,36,Certified,Surgery,2463
2542,23eb9ee2-177f-4df0-80cf-e3a8b9665b76,Doctor,13,Uncertified,General,5397
2543,4cc3a101-facd-4cba-a78d-70a340412587,Doctor,25,Uncertified,Obstetrics,8977
2544,be274090-3d15-4c48-b33c-8030e772611b,Midwife,11,Certified,Pediatrics,5490
2545,ae38d187-a3d3-4a27-88fa-85b97a787a7c,Midwife,4,Certified,General,5623
2546,f094c040-6249-45e6-ba7d-995bd36dac23,Nurse,33,Uncertified,General,8870
2547,bea9b70f-34a1-4bf5-8efc-61582b01774e,Nurse,16,Certified,General,5736
2548,a2bc8858-d166-4c65-bcdf-8b990c2568f9,Nurse,39,Certified,Obstetrics,8118
2549,a1c47bd1-44c6-41e0-abc1-298e122dce9f,Nurse,33,Uncertified,Obstetrics,90
2550,6bb432d5-6cff-41bf-8364-1bcf6a6f6cb3,Midwife,16,Uncertified,Pediatrics,6718
2551,63a64fff-9720-4453-be52-7a1fbc837c6e,Doctor,14,Certified,General,7484
2552,60abb251-06c7-47ce-b9b3-68841d3e4ce4,Doctor,15,Uncertified,Obstetrics,9327
2553,a06c7fbb-984d-4665-9d6b-52c3cf1acb4a,Midwife,36,Uncertified,Pediatrics,575
2554,7224cadd-bffc-42c3-be0a-5bf669c8cf0f,Nurse,36,Uncertified,Pediatrics,4521
2555,1a397f61-9b6d-4286-8f3c-25a9e9c331e0,Midwife,32,Certified,Pediatrics,2537
2556,cc89edf2-25a4-4845-8fe2-8e64e1861212,Midwife,22,Uncertified,General,5479
2557,84d4d7be-1059-4a38-8bb9-a251dbb99911,Midwife,2,Certified,Pediatrics,4975
2558,f4ac2c01-9904-4300-bdb7-b6d4e9b14cf5,Nurse,9,Certified,General,7052
2559,62c100a0-0977-4224-a0fa-bd52b336b54f,Midwife,28,Certified,Pediatrics,488
2560,13d8c83a-6cbb-4d70-824a-d2d056920179,Nurse,9,Certified,Pediatrics,5322
2561,7011bd44-4429-4f8c-85d2-80a3d9791ce3,Midwife,34,Uncertified,Surgery,7538
2562,024d15ae-94d0-4f2e-9999-5b011561de3c,Doctor,1,Uncertified,Surgery,8685
2563,2a291ea2-e680-459b-9b83-e18b1a3543b5,Doctor,27,Certified,Pediatrics,2570
2564,ba26519b-2387-4287-8091-d90c51840bab,Nurse,10,Certified,Pediatrics,6184
2565,6a521390-14d6-492a-b0e6-15ddfdae15b9,Nurse,17,Uncertified,General,2109
2566,411b1399-e8e6-4528-806b-fc3a0b4a2207,Nurse,3,Uncertified,Pediatrics,3895
2567,e90da574-2fef-417c-8d7d-f548c2f446f4,Nurse,16,Uncertified,Obstetrics,9094
2568,8ed3f722-2a41-4511-bb08-74cdfb9bb71b,Nurse,18,Certified,Obstetrics,625
2569,8a87ba3e-9ef8-4f0f-8fb4-fa80eda8baed,Doctor,26,Certified,General,2979
2570,f6555f0f-feba-4f18-8a09-2da36a6654a3,Midwife,16,Certified,Surgery,9430
2571,3a11e6ed-f640-47f7-82ed-9064dc2c57b7,Midwife,18,Uncertified,General,6933
2572,ecedc78b-1ce1-46f0-a237-d235a38d188b,Doctor,9,Uncertified,General,8562
2573,641fd4a5-8ddf-43d0-8f61-44332c32ed18,Midwife,13,Uncertified,Surgery,1429
2574,bf5e4ff4-43a7-4d69-9477-7effe378effc,Midwife,27,Uncertified,General,9384
2575,4b9c80b5-8c49-467d-9dfa-37afb3b755ca,Doctor,12,Certified,Surgery,1662
2576,d9b833fd-0964-45f3-9f36-8532241939f4,Doctor,30,Certified,Surgery,5423
2577,c34ac9c4-6520-4744-9e54-85b4764bc004,Midwife,32,Certified,Obstetrics,2111
2578,d07d6f25-9ac1-4981-9e2d-cf1061774e24,Midwife,5,Certified,Obstetrics,5355
2579,73e16f75-f703-4deb-80a0-b284a2fb82ac,Nurse,34,Certified,Surgery,2447
2580,29f71926-42e2-4eac-a006-50df81586381,Doctor,12,Certified,General,7863
2581,a5b78134-0fc8-4237-ae72-894b084cb20d,Nurse,24,Uncertified,Surgery,8892
2582,473c58b7-15b3-4743-8931-e52611445386,Nurse,33,Uncertified,Obstetrics,402
2583,41e43181-22ec-4704-850a-2bd4d690d790,Nurse,2,Certified,Surgery,935
2584,79c688b6-a442-4d1b-838b-0cba646aed9f,Doctor,36,Certified,Pediatrics,4821
2585,2b6996a5-7d03-418a-9799-aa72390be8d6,Nurse,6,Uncertified,General,2103
2586,8883bccb-d80c-400c-b49f-5b163f272313,Midwife,32,Certified,General,8620
2587,b7e94075-1156-4bed-ac52-c5f9ead7dce2,Doctor,34,Uncertified,General,2947
2588,5e4346e0-942d-4c49-9a9d-7051fad14340,Midwife,26,Certified,Obstetrics,3492
2589,ed361cfd-b462-4d76-84d1-52f02b6ea77f,Midwife,33,Uncertified,Obstetrics,9731
2590,9956614c-bd67-46a9-9272-5ab5d7d29399,Midwife,2,Certified,Surgery,366
2591,45f46772-9980-4a4d-9dfc-e905b56c8e75,Doctor,14,Uncertified,Pediatrics,9781
2592,a8e1f988-52db-4103-b9ac-576d74fb2744,Nurse,37,Certified,Surgery,5175
2593,369d7496-6fd3-4a32-b291-452678752d7d,Midwife,15,Certified,Obstetrics,5175
2594,7d6211c2-e5cd-4bca-80e6-cc34e53859fe,Nurse,17,Uncertified,Obstetrics,5778
2595,80fbdb3e-9bda-498e-83cf-a636b3cbbe72,Midwife,28,Uncertified,Pediatrics,1430
2596,0759d9d3-3ac8-430d-97d1-09642ba1ba16,Doctor,22,Uncertified,Surgery,1770
2597,7a550fe5-7fb8-4aba-907b-f7d5570b2c06,Nurse,20,Certified,General,9865
2598,d21f98b3-a8fa-4545-b81f-62599324e145,Doctor,28,Uncertified,General,7687
2599,d93f017d-88de-4eef-a42d-0c7399cf3c81,Midwife,19,Certified,Surgery,8723
2600,718e5595-63d3-4079-b57f-6bb7d4f1eac5,Nurse,19,Uncertified,Surgery,6202
2601,4fd78fe5-7813-4d65-840f-fef46f3e91c9,Nurse,4,Certified,Pediatrics,2985
2602,0a551c67-1986-4475-a030-25d8b84ac398,Midwife,7,Uncertified,Obstetrics,101
2603,9af14895-37ea-40b6-962d-639f5e74efd0,Nurse,13,Certified,Surgery,6268
2604,89159257-ac32-48ac-bad1-c44445c8bd55,Doctor,12,Uncertified,Pediatrics,1948
2605,c599fa1b-0123-4ab5-9103-755f1a76e83e,Doctor,10,Uncertified,Obstetrics,7096
2606,3ad9c5c5-d8d3-4103-913b-178247deab59,Doctor,16,Uncertified,General,8986
2607,3c838695-f9a9-40b1-8e40-b45c91de7297,Doctor,15,Uncertified,Surgery,8136
2608,6f03bad8-cef9-4891-b91c-1139574bc8e2,Nurse,39,Certified,Pediatrics,6886
2609,22246593-dfe3-4e67-8681-b46bbdf89a05,Midwife,30,Uncertified,Obstetrics,9808
2610,8d31a34a-c47a-4b1c-9b06-492387de82bf,Doctor,33,Uncertified,Pediatrics,3249
2611,a1fa43b7-9e74-46a8-a8e9-a079a1f6e1f8,Doctor,21,Certified,General,418
2612,b778d15c-6cef-4aea-a210-ab22f6bd93ed,Midwife,13,Certified,General,9647
2613,6b4d01ff-9e0e-4838-9ac6-b76803dc2cb7,Nurse,34,Certified,Pediatrics,4615
2614,ad2ff8f1-4ea8-456c-9b73-2fb936237d90,Nurse,2,Uncertified,Obstetrics,3735
2615,648e441c-ead0-4806-a83e-5f5977cf0adf,Nurse,19,Certified,Surgery,9283
2616,539f8e26-7c75-4cbe-a821-0dd90460154b,Doctor,27,Certified,General,3075
2617,2be1bb09-cc15-4371-94f6-95edd862fe2f,Midwife,7,Certified,Obstetrics,2542
2618,801ac91b-16ae-49bb-8e93-a664164a634c,Nurse,1,Certified,Obstetrics,4917
2619,2a4a3149-63b1-45a8-a128-eb084a7c999a,Doctor,4,Uncertified,Obstetrics,481
2620,4f90af63-6133-465c-a303-e156a9cd164e,Midwife,16,Uncertified,Pediatrics,6103
2621,ea35558e-4924-401e-a7c8-4fc2d6a55625,Doctor,27,Uncertified,Obstetrics,8772
2622,e05ef84f-05f9-41d7-86c1-f3a51a918771,Midwife,7,Certified,General,41
2623,47053269-dac7-4b00-a172-a7fec8f95b50,Doctor,18,Certified,Surgery,6839
2624,0f962dde-4b1b-4774-9519-fd53586126fe,Nurse,1,Uncertified,General,6587
2625,c942f64c-fb90-49db-995a-ad4980700506,Nurse,1,Uncertified,General,7541
2626,5257acfc-3bf0-429f-a219-8eee9b4672c6,Doctor,12,Certified,Pediatrics,5826
2627,561c177c-3d8b-486a-9f9d-c36a67c068a3,Nurse,11,Uncertified,Pediatrics,6400
2628,a412a983-46c3-42fe-8d15-191f28507334,Nurse,6,Uncertified,Surgery,4903
2629,74021562-c5db-4032-b87b-2cae3e820f4d,Nurse,23,Certified,General,7550
2630,9738c076-f1f9-4512-bada-78c1c38768b9,Nurse,7,Certified,General,5994
2631,727fc72b-d2ad-4cf7-89be-c81554b2b5ab,Midwife,36,Certified,Surgery,2975
2632,ebd05c43-6ad7-4d07-a4fe-920fb9053838,Nurse,11,Uncertified,Surgery,3085
2633,c6003c28-5cce-45b5-ad31-7a02ae8ab2c4,Midwife,1,Uncertified,Surgery,247
2634,e563a07d-7570-4825-929f-5692c6295554,Doctor,22,Certified,General,411
2635,dc1638d7-e01f-4f0d-bc60-0e703937e313,Doctor,31,Uncertified,Pediatrics,875
2636,bfde37e0-cffa-4d71-8f64-bbc340838c1f,Nurse,14,Certified,General,1316
2637,ba38397b-5a45-4a59-ba0c-1750cc84e414,Nurse,10,Certified,Surgery,4124
2638,548bca0c-279b-4e4f-bffa-3c0deba4e4b1,Nurse,36,Uncertified,Surgery,6435
2639,f1736c9a-2ba8-4442-aba3-7cf71377eabd,Doctor,33,Certified,Obstetrics,8914
2640,be959b22-d159-49b5-b02e-9e7154b9a61d,Nurse,2,Certified,General,2165
2641,6b57d09a-4a5a-4355-9456-d1c78d01d74f,Doctor,15,Uncertified,General,4866
2642,d87fed47-97b3-421f-8b09-378a753d34dd,Nurse,12,Certified,General,7280
2643,a8e03d6b-1511-45eb-8d27-23c3a3e5a05d,Doctor,8,Certified,Pediatrics,3678
2644,c5da0a55-531a-4956-8e30-f80d7de4e475,Nurse,38,Uncertified,Surgery,2780
2645,da174b37-2865-4abe-9a23-3c032b7e65f2,Midwife,18,Uncertified,Surgery,8613
2646,a270f66c-c063-43cd-96c7-f3187af497d1,Doctor,13,Certified,Obstetrics,5857
2647,46148c45-9f04-44eb-acd7-0388e8643256,Midwife,27,Uncertified,Surgery,6599
2648,d8f61bf2-c2c2-43bc-af86-ebc5900711eb,Midwife,28,Certified,Pediatrics,2032
2649,e09b562b-53e7-45c4-ad98-4594fdf7fd26,Midwife,3,Uncertified,General,3931
2650,9fc9ced7-c95a-4097-b582-b335297ff1b9,Doctor,30,Certified,Surgery,1737
2651,adbb95fc-413a-4301-bf10-dc4e65bc9033,Doctor,25,Uncertified,Pediatrics,630
2652,ef8186dd-f340-4217-95b5-8085df98c494,Nurse,37,Certified,Obstetrics,8942
2653,2467d181-0d80-407d-9dd6-ea3190513cfc,Doctor,27,Certified,Obstetrics,391
2654,aa2e97ac-395c-4fab-91e7-1b500f6a9d0b,Doctor,15,Uncertified,Pediatrics,3758
2655,09bd7a03-44ea-4da0-96e4-2b52845a91f2,Nurse,38,Certified,General,1285
2656,8f6de5ab-0f10-4a9f-803c-6335700a4434,Midwife,11,Uncertified,Pediatrics,4439
2657,57ad564d-16f5-45ac-8275-add543216314,Nurse,32,Uncertified,General,3400
2658,f0fbf9d5-1507-493e-b6e9-62b392027568,Nurse,7,Uncertified,General,955
2659,6a33a75b-24bc-4ed7-886a-126820ffc695,Doctor,17,Certified,Surgery,1702
2660,7843ddd8-51e3-442f-bd63-40269071800f,Midwife,9,Certified,Obstetrics,8611
2661,d64fe4e2-38ac-4bcc-91f6-3ceae391bb7f,Midwife,39,Uncertified,General,1112
2662,11b67a4b-5738-4fe2-8b19-7ecdb1d9c3c6,Doctor,30,Certified,General,8931
2663,acfba745-33a3-4e85-be41-bb80b508d32e,Nurse,34,Certified,Surgery,8396
2664,7b6939aa-dee9-4590-9bb7-b369f10bf194,Nurse,3,Certified,Obstetrics,9925
2665,556dfaf1-3f66-4fc4-b497-3f6860079b3d,Midwife,29,Certified,Pediatrics,7032
2666,6acf9ffa-48c9-45c2-9d72-69102938ee5a,Doctor,4,Uncertified,Surgery,3966
2667,b9179626-217e-4b9e-8ff2-6dc71200b1ef,Nurse,24,Uncertified,General,6509
2668,05926d6a-2ae6-44ae-bf72-407f6f33ee6b,Midwife,29,Certified,General,8744
2669,5aaab1f7-82d8-44dd-8f3e-b86945681792,Doctor,18,Certified,Surgery,5924
2670,ca64fd81-65da-473e-85bd-72f724075c74,Midwife,37,Certified,Obstetrics,6777
2671,e298cb77-4372-4353-b459-a9383efe4d6b,Doctor,39,Uncertified,Obstetrics,1757
2672,86f73d29-11a6-409b-9383-c87368599322,Nurse,17,Certified,Obstetrics,1252
2673,7efb93f5-868c-4779-bf88-ba84994c284b,Midwife,39,Uncertified,General,7824
2674,85729173-24d8-43b3-b2e6-19ec3058d484,Nurse,3,Certified,Obstetrics,8048
2675,e6e526ab-61e4-4d01-a694-bbcf2df78554,Doctor,15,Uncertified,General,731
2676,e4a24c83-9a6d-4ea0-bf21-2de6596d9500,Doctor,10,Certified,Pediatrics,2790
2677,37f067e3-a8b4-4d7d-b047-af91d493137d,Midwife,26,Certified,Pediatrics,890
2678,496f5b15-0a83-4b6d-81f1-5677b108fffa,Midwife,15,Certified,Pediatrics,6498
2679,9cebac3b-f456-4c07-b63e-f9121a37846a,Nurse,36,Uncertified,Pediatrics,8691
2680,cdf0533f-15c4-43f1-bb20-664610e28a07,Midwife,12,Uncertified,General,9951
2681,0c5b672d-6274-4e7b-8e2e-af6fe2622ebf,Midwife,28,Certified,Obstetrics,5306
2682,fc44347f-33cc-4e85-bec6-0206fe0ccfed,Midwife,18,Certified,General,1944
2683,ad686f63-cdaa-447b-bcec-9729d409a2d2,Nurse,3,Certified,General,55
2684,d0b11286-812d-401f-8fa7-dff23b3d7f8d,Nurse,26,Uncertified,Surgery,5865
2685,163af696-4807-44b6-8ab8-59cf5fab1bfd,Doctor,27,Certified,Obstetrics,1913
2686,3ff2f59b-4d26-4cb8-a66d-48438775c84a,Midwife,16,Uncertified,Pediatrics,8098
2687,dd71e276-cde9-4ee3-a716-caa36b6d7981,Nurse,20,Certified,Surgery,7607
2688,2e449b74-aa3b-4e3f-8de1-76796e0cf609,Midwife,27,Certified,Obstetrics,5953
2689,9ada2cfa-a165-472a-8411-91dcad4ecb45,Doctor,19,Certified,General,3414
2690,38f6f29b-1650-4cab-b2ff-dacbeb040943,Nurse,4,Uncertified,Pediatrics,6502
2691,8a5044fa-8da6-47db-a91c-b1d778a240a9,Midwife,39,Uncertified,General,9380
2692,af24aea1-2889-4932-bb2d-621d0c5c089a,Nurse,39,Uncertified,Obstetrics,7967
2693,9491f0b6-080a-41f4-911a-ba38e893c71a,Midwife,37,Certified,Obstetrics,2765
2694,7c4b3a5d-6a5e-4b6d-ae07-5a693d83ff76,Doctor,33,Certified,Obstetrics,2538
2695,ee8a8f00-b923-4990-b9f8-078eb990e0e2,Nurse,1,Uncertified,Obstetrics,3867
2696,752adbfd-f085-4cb3-bfa8-e27169c72eb2,Midwife,2,Uncertified,Pediatrics,7299
2697,3d7ba806-7475-4919-b6ba-1b7ec87ab60e,Midwife,32,Uncertified,Pediatrics,514
2698,c3e71329-5791-45ee-aa81-73fdda72a20a,Midwife,25,Uncertified,Obstetrics,1601
2699,4fa7a6ee-60a2-4628-b4c5-9b86f44209b1,Doctor,15,Uncertified,Surgery,3439
2700,54b0e4d1-4c7d-4780-993d-736f5b69a0a6,Doctor,38,Certified,Surgery,6100
2701,35414748-0ee4-45de-a2b8-55de9e132b4f,Midwife,34,Uncertified,General,4544
2702,8117766e-f676-475d-a646-928c400cb86a,Doctor,14,Certified,Obstetrics,6910
2703,ce50f223-54b0-4b87-9d06-82ba1c5f2444,Nurse,35,Uncertified,General,1715
2704,33b90c47-4007-407a-b220-96bcdc61cc72,Midwife,39,Uncertified,Surgery,6359
2705,b8cf8a35-bd34-4352-8582-330d5bb4d7bf,Nurse,9,Uncertified,General,3984
2706,0cef00fa-e6d8-4aee-9b9d-efd31c6d11e2,Nurse,38,Uncertified,Surgery,3522
2707,344e3c13-9fcf-40dd-a1be-dea323c409e8,Midwife,31,Uncertified,Pediatrics,5161
2708,3496a311-5f18-40a9-90ac-a19b92fea908,Midwife,16,Uncertified,General,2005
2709,89902d72-0c9f-4dca-9294-f2903c2b8927,Doctor,34,Certified,Surgery,9835
2710,22a2a2f8-c048-46a0-bb49-0e519e46ddef,Nurse,23,Certified,Obstetrics,7032
2711,3047950c-3fde-42ae-b0ef-0aa9313021d6,Nurse,18,Uncertified,General,3910
2712,150e0203-e0f7-4b39-b239-f182a71df9ab,Nurse,10,Certified,General,7998
2713,bec5e361-adc0-43cc-9d7f-489334adab8e,Nurse,9,Certified,Obstetrics,7503
2714,f94b43fb-4fb3-405f-91e0-93c0fbbfee72,Doctor,21,Uncertified,Obstetrics,6065
2715,561bc402-509d-49c4-8520-214ba7a2a01e,Nurse,19,Uncertified,Pediatrics,70
2716,76ea21b7-074b-4e2a-8914-4b12bf288350,Nurse,11,Uncertified,General,1768
2717,401a272f-6063-4b70-a4ac-6fbf05d8b66a,Nurse,7,Uncertified,General,1967
2718,ccdf321b-237c-4e70-aea2-57c20471f6f8,Midwife,4,Certified,General,6457
2719,62b099a5-03a2-4cda-ac2e-9bfacbaf30dc,Midwife,18,Certified,General,1338
2720,1b2aeaf5-b7a1-4fd3-880c-819470a4e9e4,Midwife,17,Uncertified,Obstetrics,9372
2721,1f9054bb-ffc3-4d02-a1da-9cda51e02147,Nurse,29,Certified,Obstetrics,1486
2722,4e42fce0-4c05-4884-932c-9257bf10cb99,Midwife,28,Uncertified,Pediatrics,3756
2723,6fdde26f-7a3e-499d-81cd-b300d0a1a4af,Doctor,35,Certified,Pediatrics,8507
2724,efaecf4f-eebb-4c06-9b7c-1a9e283d60f3,Doctor,28,Uncertified,Surgery,6041
2725,f58d1036-6b89-4a2a-ba84-38aee78b4bb7,Nurse,4,Certified,Pediatrics,9264
2726,3ea392ca-fbec-4c6b-8fff-270649204e3e,Midwife,12,Certified,Pediatrics,5904
2727,a930e8ac-4146-433d-bd1e-70b5bc194478,Midwife,27,Certified,Pediatrics,7350
2728,e0f5c703-b27f-485f-b402-ae6b22c46dc3,Doctor,30,Uncertified,Surgery,8061
2729,741fe547-9432-47c9-a437-e125d5d4d79a,Midwife,4,Uncertified,Surgery,3170
2730,95482893-2c9c-4fbd-8df5-cb673fcebaad,Nurse,37,Certified,General,9875
2731,9118dbdf-6fd0-4672-8dbd-fa9d4828de3e,Nurse,11,Certified,General,1628
