socioeconomic_key,employment_status,income_level,access_to_healthcare,education_level,insurance_coverage
2841,Employed,5914.198769300781,Good,Secondary,Yes
2842,Unemployed,5900.222917560861,Good,Secondary,Yes
2843,Unemployed,9004.366425360155,Moderate,Secondary,No
2844,Student,8477.569360233716,Good,Tertiary,No
2845,Employed,4302.770510348363,Good,Tertiary,Yes
2846,Student,5990.661438521614,Good,Tertiary,Yes
2847,Student,9165.53320851071,Good,Secondary,Yes
2848,Unemployed,9998.261745151689,Poor,Tertiary,Yes
2849,Employed,7411.1826391647355,Good,Tertiary,No
2850,Student,778.5118711839076,Poor,Tertiary,No
2851,Employed,8929.25165461003,Good,Primary,No
2852,Employed,4831.036275699459,Moderate,None,No
2853,Unemployed,3571.2984991468566,Good,Tertiary,No
2854,Employed,2972.261386961202,Moderate,None,No
2855,Employed,8056.563267163505,Good,Tertiary,No
2856,Employed,8993.101234060388,Good,Secondary,Yes
2857,Unemployed,6888.908937550293,Good,Tertiary,Yes
2858,Unemployed,689.8535827854424,Moderate,Tertiary,Yes
2859,Student,9869.620949905047,Poor,Tertiary,Yes
2860,Unemployed,5621.83112869799,Poor,None,No
2861,Unemployed,8291.795669318191,Poor,None,Yes
2862,Employed,7239.377157618261,Good,Secondary,No
2863,Unemployed,3419.325305825709,Moderate,Secondary,Yes
2864,Employed,9186.920489964656,Moderate,None,No
2865,Unemployed,3117.731375675991,Poor,Tertiary,No
2866,Unemployed,9799.541671258346,Poor,Tertiary,Yes
2867,Unemployed,9841.456721575989,Poor,Tertiary,No
2868,Student,527.5119219519564,Good,Primary,Yes
2869,Unemployed,1379.6760155725096,Good,Tertiary,No
2870,Student,2420.680158192879,Good,Secondary,Yes
2871,Student,3755.7840806760423,Poor,Primary,No
2872,Student,6569.079989978269,Poor,Tertiary,No
2873,Employed,3714.8084403472612,Moderate,None,No
2874,Unemployed,9379.50978261439,Moderate,Tertiary,No
2875,Employed,4813.5186329765165,Good,Tertiary,No
2876,Student,5617.631103884907,Poor,Primary,No
2877,Employed,6300.405951730361,Moderate,Primary,Yes
2878,Student,4311.820669804403,Good,Tertiary,Yes
2879,Unemployed,6382.762881972438,Moderate,Secondary,Yes
2880,Unemployed,987.0990759441539,Good,None,No
2881,Employed,5070.485636257355,Good,Primary,No
2882,Employed,3369.172342373552,Poor,Primary,No
2883,Student,2100.2695833818343,Good,None,No
2884,Unemployed,473.67835491751435,Moderate,None,No
2885,Employed,7830.9300205845375,Good,Tertiary,No
2886,Student,1301.5937160781016,Moderate,Tertiary,No
2887,Student,1792.6028733991338,Moderate,Primary,Yes
2888,Student,1764.792694642706,Good,Primary,Yes
2889,Student,9806.235563797303,Good,None,Yes
2890,Student,2608.488535175828,Moderate,Secondary,Yes
2891,Unemployed,1944.1329059422699,Moderate,Primary,Yes
2892,Employed,9695.443197093911,Good,Secondary,Yes
2893,Student,6309.396105143187,Poor,Secondary,Yes
2894,Unemployed,6856.593319109425,Good,Tertiary,No
2895,Employed,8167.676312246022,Good,None,Yes
2896,Unemployed,5507.94797211883,Moderate,Primary,Yes
2897,Student,5473.7023325380305,Moderate,Secondary,No
2898,Employed,9983.245922350377,Moderate,Primary,No
2899,Unemployed,6930.022981761469,Poor,Primary,Yes
2900,Unemployed,7143.998130106534,Moderate,Primary,No
2901,Unemployed,972.8070574295888,Poor,Primary,No
2902,Employed,1231.4534042691546,Poor,Primary,No
2903,Student,5126.187057775292,Poor,Secondary,Yes
2904,Unemployed,7314.2870307120775,Moderate,Tertiary,Yes
2905,Employed,7563.219268992053,Moderate,None,Yes
2906,Student,7856.445066183975,Good,Secondary,Yes
2907,Employed,7156.853640367362,Good,None,Yes
2908,Unemployed,1260.8430194228174,Moderate,Tertiary,Yes
2909,Unemployed,8355.78961641088,Good,Secondary,Yes
2910,Student,7690.786358214205,Moderate,Secondary,Yes
2911,Employed,3797.2049929660793,Good,Primary,Yes
2912,Employed,4145.960610235581,Moderate,Primary,Yes
2913,Student,5580.29511735668,Moderate,Tertiary,No
2914,Student,9929.058227567895,Moderate,Primary,No
2915,Employed,7467.643437268451,Moderate,None,Yes
2916,Employed,8394.023892035437,Good,Tertiary,Yes
2917,Student,2136.030818350816,Poor,Secondary,No
2918,Unemployed,5107.034558924773,Good,Secondary,No
2919,Employed,5670.2757141959,Poor,Secondary,Yes
2920,Unemployed,537.9453199543075,Good,Primary,No
2921,Employed,1203.843710048805,Good,Secondary,No
2922,Unemployed,2222.880113993218,Moderate,None,Yes
2923,Employed,8845.59646935169,Poor,None,No
2924,Unemployed,7774.246135523331,Good,Secondary,No
2925,Employed,4914.508864008038,Moderate,None,Yes
2926,Employed,7863.674194009433,Good,None,No
2927,Student,5260.418902042925,Poor,Primary,No
2928,Employed,9226.933978398594,Poor,Tertiary,No
2929,Employed,2923.87970134817,Moderate,Primary,No
2930,Unemployed,1276.682882513674,Poor,Primary,No
2931,Unemployed,585.3994048252134,Moderate,None,Yes
2932,Student,4438.340491770076,Poor,None,No
2933,Employed,3122.1368685687817,Poor,Tertiary,Yes
2934,Unemployed,9677.200462018687,Good,Tertiary,Yes
2935,Employed,8835.668091929594,Poor,None,Yes
2936,Student,4356.350799143026,Moderate,None,No
2937,Student,264.51923632376895,Poor,Tertiary,No
2938,Employed,1030.6401146224375,Moderate,Secondary,No
2939,Student,2232.5989031405343,Poor,Secondary,No
2940,Unemployed,3983.2267060390004,Moderate,Secondary,Yes
2941,Unemployed,8036.661022550787,Good,Secondary,No
2942,Unemployed,8542.823714346028,Poor,Primary,No
2943,Student,9991.085925552461,Poor,None,No
2944,Student,5358.161640460957,Moderate,Tertiary,No
2945,Student,9485.869981793874,Moderate,Primary,No
2946,Employed,6566.528367486373,Good,Tertiary,No
2947,Employed,4831.777619065316,Poor,Secondary,No
2948,Student,1436.6469623731502,Moderate,Tertiary,No
2949,Unemployed,9174.325655100783,Good,Secondary,Yes
2950,Student,8948.979089491897,Good,Primary,Yes
2951,Employed,8806.40574493975,Poor,None,Yes
2952,Student,9640.403577529905,Good,Secondary,No
2953,Employed,8208.683400573616,Moderate,None,No
2954,Employed,154.92140815076635,Poor,Primary,Yes
2955,Unemployed,7178.896332489567,Good,Tertiary,Yes
2956,Student,4216.78558563896,Moderate,Primary,No
2957,Student,9446.734611920032,Good,Primary,No
2958,Student,7864.818601621369,Poor,Tertiary,No
2959,Unemployed,8051.048577887355,Moderate,Tertiary,Yes
2960,Student,1177.3687244841321,Good,Secondary,No
2961,Student,4695.605373948435,Good,Tertiary,No
2962,Student,4612.900736596378,Moderate,Tertiary,Yes
2963,Employed,4996.244927030588,Moderate,Tertiary,No
2964,Student,7982.227568012016,Good,Tertiary,No
2965,Employed,2282.8718874674114,Poor,None,No
2966,Unemployed,1876.475902967034,Poor,Tertiary,Yes
2967,Unemployed,8593.13148967105,Moderate,None,Yes
2968,Student,8364.707735231283,Poor,None,No
2969,Employed,6695.414328514805,Good,Secondary,Yes
2970,Employed,719.2628006870676,Good,None,Yes
2971,Employed,7228.5045260955485,Poor,Secondary,Yes
2972,Employed,1168.1511319942667,Moderate,Secondary,Yes
2973,Employed,4028.9333094418757,Good,None,Yes
2974,Employed,8409.724738206198,Good,None,Yes
2975,Unemployed,403.1331057266775,Poor,None,Yes
2976,Student,6379.337674054437,Good,Secondary,Yes
2977,Employed,5568.574271547254,Moderate,None,Yes
2978,Unemployed,3831.129484238636,Moderate,None,Yes
2979,Employed,2209.5593317537,Moderate,Secondary,Yes
2980,Unemployed,1740.1373464033904,Moderate,Secondary,No
2981,Employed,8416.321794461686,Poor,Primary,No
2982,Employed,1195.190365950606,Poor,None,No
2983,Student,9655.164990964822,Good,None,Yes
2984,Student,2041.35071133911,Good,Secondary,No
2985,Employed,7241.421053333761,Good,Secondary,Yes
2986,Student,5616.719746534915,Poor,None,Yes
2987,Unemployed,3806.319677354591,Moderate,Primary,No
2988,Student,9150.860348065333,Good,Secondary,No
2989,Student,438.1149501666622,Moderate,Secondary,Yes
2990,Employed,7693.488439112818,Moderate,Primary,Yes
2991,Unemployed,7422.412331083638,Moderate,None,Yes
2992,Unemployed,8372.485342577456,Good,Tertiary,Yes
2993,Employed,8927.886517829675,Poor,Secondary,No
2994,Employed,4627.425619184774,Moderate,Secondary,No
2995,Student,6783.382949914951,Poor,None,Yes
2996,Student,5794.801333204621,Moderate,Primary,Yes
2997,Unemployed,5958.044733487561,Good,None,Yes
2998,Student,347.18374958405457,Poor,Primary,Yes
2999,Unemployed,9632.018712444871,Poor,Tertiary,Yes
3000,Employed,1704.7262076703314,Poor,Tertiary,No
3001,Unemployed,4202.191169322066,Good,Tertiary,No
3002,Employed,7034.0459127135,Moderate,Primary,Yes
3003,Employed,2209.4847666211135,Poor,None,Yes
3004,Employed,1249.7234213490822,Moderate,Secondary,No
3005,Student,8967.78654297321,Poor,Tertiary,Yes
3006,Unemployed,5846.540555560016,Poor,Primary,No
3007,Employed,1433.6238792731992,Poor,Primary,Yes
3008,Student,8742.855407831174,Good,Secondary,Yes
3009,Student,1967.8061162017714,Poor,Primary,No
3010,Employed,6608.960389391225,Good,Primary,Yes
3011,Employed,8569.878121779157,Good,Primary,No
3012,Student,6234.838203980013,Good,Primary,No
3013,Student,169.1159053661264,Moderate,Primary,Yes
3014,Unemployed,6531.437181966147,Good,None,No
3015,Student,5720.6693881222045,Good,Tertiary,Yes
3016,Employed,5328.076765418011,Moderate,None,No
3017,Employed,3130.7640565169236,Good,Tertiary,No
3018,Student,6302.137205225492,Good,None,No
3019,Student,263.52900474751385,Poor,Secondary,No
3020,Employed,5229.720839358994,Poor,Primary,Yes
3021,Student,3349.5089413481082,Poor,Tertiary,Yes
3022,Unemployed,573.6447755960766,Good,Primary,No
3023,Unemployed,2697.997993202521,Good,Primary,Yes
3024,Unemployed,8383.126501497696,Poor,Primary,No
3025,Unemployed,2658.2455411964615,Poor,None,Yes
3026,Student,4773.394717093652,Moderate,Primary,Yes
3027,Employed,5695.739634433917,Poor,Primary,Yes
3028,Student,2942.5869174709487,Good,Secondary,Yes
3029,Student,5479.532817421097,Good,Tertiary,No
3030,Unemployed,9558.964891674348,Moderate,Secondary,Yes
3031,Employed,1923.8120382251748,Poor,None,Yes
3032,Unemployed,8932.479408763893,Good,Tertiary,No
3033,Unemployed,5655.349249430783,Moderate,None,No
3034,Unemployed,7815.075319681416,Moderate,None,No
3035,Unemployed,6031.409214978851,Poor,Secondary,No
3036,Unemployed,3122.4471250001925,Good,Primary,No
3037,Employed,5788.872765319065,Good,None,Yes
3038,Unemployed,4318.04142961183,Poor,Tertiary,No
3039,Employed,5978.666528206207,Moderate,Secondary,No
3040,Student,5697.580455043969,Good,Tertiary,Yes
3041,Unemployed,6812.495556802946,Good,Primary,Yes
3042,Unemployed,7278.250508004081,Poor,Secondary,Yes
3043,Student,5522.110605936122,Good,None,No
3044,Student,8126.0554605180505,Good,None,Yes
3045,Unemployed,6889.610070967957,Poor,Secondary,Yes
3046,Unemployed,2615.746333960167,Moderate,Secondary,No
3047,Employed,9393.884388159106,Poor,Tertiary,Yes
3048,Employed,803.299207946318,Good,Primary,Yes
3049,Unemployed,6366.72896679127,Good,Tertiary,Yes
3050,Employed,6161.949210135187,Poor,Tertiary,No
3051,Employed,4499.762452894125,Poor,None,Yes
3052,Student,4824.683179602828,Poor,Primary,No
3053,Student,7797.15362388863,Moderate,Secondary,No
3054,Employed,7250.016960588203,Good,Tertiary,No
3055,Employed,4201.510661769417,Moderate,None,No
3056,Unemployed,2220.3959599651284,Good,Primary,No
3057,Student,711.6847453412888,Poor,Primary,No
3058,Employed,7269.701294689882,Good,Secondary,No
3059,Employed,6993.418687755724,Poor,Tertiary,No
3060,Employed,2918.2155912641456,Moderate,Primary,Yes
3061,Student,9534.625112146161,Poor,None,No
3062,Student,6542.902935593848,Poor,Secondary,Yes
3063,Student,6691.985935837055,Good,Primary,Yes
3064,Employed,5676.971174681208,Good,Tertiary,Yes
3065,Student,6496.757859949443,Poor,None,Yes
3066,Student,9990.744198058113,Good,Primary,Yes
3067,Employed,8034.867675929975,Good,Secondary,Yes
3068,Unemployed,4282.91687051358,Good,Primary,No
3069,Employed,2030.0627801201028,Good,Primary,No
3070,Employed,7557.797679687072,Good,Tertiary,Yes
3071,Student,8803.054947770199,Poor,Primary,Yes
3072,Employed,5275.111833833605,Poor,Secondary,Yes
3073,Student,9242.658123410269,Good,None,No
3074,Employed,5627.4476824691665,Poor,None,No
3075,Employed,2244.4508026850635,Poor,Primary,No
3076,Employed,4317.631088835883,Good,Tertiary,Yes
3077,Student,4274.425549770744,Moderate,None,Yes
3078,Employed,1824.5450125238967,Good,None,No
3079,Employed,6907.9618894264595,Moderate,Primary,Yes
3080,Employed,8438.342708248732,Moderate,Primary,Yes
3081,Employed,2168.360871646703,Good,Primary,Yes
3082,Student,7702.210658909961,Poor,Tertiary,Yes
3083,Employed,1542.9282640245935,Moderate,None,No
3084,Employed,3388.030874698622,Poor,Tertiary,Yes
3085,Student,7420.819190241316,Moderate,Secondary,Yes
3086,Student,4058.9025301911297,Moderate,None,Yes
3087,Unemployed,179.15086088209105,Good,Secondary,Yes
3088,Unemployed,8163.478099396784,Poor,Secondary,No
3089,Unemployed,2320.304134322506,Poor,None,No
3090,Student,8566.815712561072,Good,None,Yes
3091,Unemployed,2617.454119518389,Poor,Secondary,Yes
3092,Employed,2622.6580826895843,Moderate,Tertiary,No
3093,Employed,8849.464070690266,Poor,Primary,Yes
3094,Employed,3559.9644535035045,Moderate,Secondary,Yes
3095,Unemployed,6699.76096784381,Good,Primary,Yes
3096,Student,3634.6371259460416,Poor,Secondary,No
3097,Unemployed,5458.864225156437,Good,Primary,No
3098,Student,7730.820811756319,Moderate,Tertiary,Yes
3099,Employed,9192.949058236614,Moderate,None,Yes
3100,Unemployed,6553.017526945824,Moderate,Tertiary,No
3101,Student,3869.4049404105967,Poor,Secondary,No
3102,Student,4001.313802825484,Poor,Secondary,No
3103,Student,1645.1918687627845,Good,Tertiary,Yes
3104,Employed,5698.219463698853,Poor,Secondary,No
3105,Employed,8438.22417734393,Moderate,Primary,No
3106,Employed,1388.6299867204716,Moderate,Secondary,No
3107,Student,2684.121437477977,Moderate,Tertiary,Yes
3108,Unemployed,291.73411107028085,Poor,Secondary,Yes
3109,Employed,5308.155429165972,Poor,Tertiary,No
3110,Unemployed,675.988081063159,Poor,Secondary,Yes
3111,Employed,5833.601518068773,Poor,Tertiary,Yes
3112,Student,2914.053367404994,Good,Secondary,Yes
3113,Student,8046.865112739742,Good,Secondary,No
3114,Employed,5395.126161977432,Poor,Tertiary,No
3115,Unemployed,4867.371114019912,Poor,Tertiary,No
3116,Employed,2393.1958434037665,Moderate,Primary,Yes
3117,Unemployed,9264.014251495146,Moderate,Secondary,Yes
3118,Employed,9527.82041467475,Poor,Tertiary,Yes
3119,Student,7565.839065016069,Poor,None,Yes
3120,Unemployed,3132.077476021892,Poor,Secondary,No
3121,Student,7904.96803297652,Moderate,Secondary,No
3122,Employed,7270.076706105709,Moderate,Tertiary,Yes
3123,Unemployed,2193.8937179318054,Good,Tertiary,No
3124,Unemployed,907.8635692316276,Good,Primary,Yes
3125,Unemployed,2010.8843761629041,Moderate,Tertiary,Yes
3126,Unemployed,8681.498356214397,Good,Tertiary,No
3127,Unemployed,1648.557691014991,Poor,Primary,No
3128,Student,7941.486659257913,Poor,Primary,Yes
3129,Unemployed,3252.675231297304,Good,Secondary,Yes
3130,Employed,7262.401952115166,Poor,Secondary,No
3131,Student,9004.556003742378,Moderate,Secondary,Yes
3132,Unemployed,7902.536102701016,Moderate,None,Yes
3133,Unemployed,5420.1349607268185,Poor,None,No
3134,Student,148.08675230390446,Moderate,None,No
3135,Unemployed,1464.5727189884853,Good,None,Yes
3136,Student,7855.958988583281,Poor,None,Yes
3137,Student,1061.921571773156,Moderate,Primary,No
3138,Unemployed,9734.332489504674,Poor,Primary,No
3139,Employed,9705.83070571508,Good,None,Yes
3140,Unemployed,3009.8490568290267,Good,Primary,Yes
3141,Employed,438.5025675033355,Good,Primary,No
3142,Unemployed,7494.129292318762,Moderate,Primary,Yes
3143,Student,1992.4738751349958,Poor,None,Yes
3144,Unemployed,7360.36675100784,Poor,Secondary,No
3145,Unemployed,3416.0826280398205,Poor,None,No
3146,Unemployed,3790.651824180617,Good,Primary,Yes
3147,Employed,6049.244609014062,Good,Primary,Yes
3148,Student,1722.577099688558,Moderate,Primary,Yes
3149,Student,9698.04470453729,Poor,None,Yes
3150,Employed,529.3067853897694,Poor,Primary,No
3151,Unemployed,9483.486367197915,Good,Tertiary,No
3152,Employed,3055.8800563054283,Good,Secondary,No
3153,Student,6697.854938441375,Moderate,Tertiary,No
3154,Student,9979.96356583846,Good,None,Yes
3155,Unemployed,2446.0778607917446,Moderate,Secondary,Yes
3156,Unemployed,4804.468134287369,Poor,None,No
3157,Employed,332.67170494657967,Good,Primary,No
3158,Student,2225.9984969094066,Moderate,Tertiary,Yes
3159,Student,1472.8149408242568,Good,None,No
3160,Employed,7566.268149887476,Moderate,Primary,Yes
3161,Employed,6953.5313238549015,Good,Tertiary,No
3162,Unemployed,4939.599454403203,Poor,Secondary,No
3163,Employed,117.35335798030488,Moderate,Tertiary,No
3164,Student,2137.0379804249465,Poor,Tertiary,No
3165,Unemployed,6796.492255317035,Poor,None,Yes
3166,Employed,232.26845490690306,Moderate,Tertiary,No
3167,Student,5868.585618446793,Moderate,Primary,No
3168,Student,1693.4441011928106,Moderate,Tertiary,Yes
3169,Employed,5861.906002902171,Good,None,Yes
3170,Student,7929.9354894836415,Moderate,Primary,Yes
3171,Employed,8754.91580550622,Good,Tertiary,No
3172,Employed,4380.856484160372,Good,Secondary,No
3173,Unemployed,6074.048774861987,Good,None,Yes
3174,Employed,5378.598591982424,Poor,Secondary,No
3175,Employed,5445.424907275018,Good,Primary,No
3176,Unemployed,3923.191914294589,Poor,Secondary,Yes
3177,Student,7913.023902876826,Poor,Tertiary,Yes
3178,Unemployed,3448.3011294945654,Moderate,None,Yes
3179,Student,5962.728477195539,Moderate,Secondary,No
3180,Employed,4610.406397581647,Poor,Secondary,No
3181,Employed,3496.2390522623286,Moderate,Primary,Yes
3182,Unemployed,3715.936963737552,Poor,Primary,Yes
3183,Student,4389.775870914179,Moderate,Primary,Yes
3184,Unemployed,4137.11653454013,Moderate,None,No
3185,Student,7116.8141181160145,Moderate,Primary,No
3186,Employed,5689.123980873155,Moderate,None,No
3187,Unemployed,5155.660133305716,Moderate,None,No
3188,Student,1797.002275069548,Moderate,Primary,Yes
3189,Employed,4766.162452415728,Good,Tertiary,No
3190,Student,4888.583799440225,Good,Secondary,No
3191,Student,7103.9424274430885,Good,Secondary,Yes
3192,Employed,4429.394903211758,Moderate,Primary,No
3193,Student,5243.625808158606,Poor,Secondary,Yes
3194,Unemployed,4067.916726833079,Good,None,No
3195,Unemployed,9786.83107667505,Good,Tertiary,Yes
3196,Employed,8572.29282151387,Good,Tertiary,Yes
3197,Unemployed,527.7254525446591,Poor,Primary,Yes
3198,Student,8590.102791691097,Moderate,Primary,Yes
3199,Unemployed,3707.741186350185,Good,Secondary,No
3200,Employed,3394.117443709044,Moderate,Primary,Yes
3201,Student,1044.507562238884,Good,None,No
3202,Student,9071.864523460827,Moderate,None,No
3203,Student,8785.204117269317,Moderate,Primary,No
3204,Unemployed,9354.434273718836,Moderate,Secondary,No
3205,Unemployed,7733.220969792019,Moderate,Primary,No
3206,Unemployed,1147.752172912993,Moderate,None,No
3207,Student,364.1573672181587,Poor,Primary,Yes
3208,Employed,9111.564982921516,Poor,Primary,No
3209,Employed,5538.4836500685105,Poor,Primary,Yes
3210,Employed,2453.009173784529,Good,Secondary,Yes
3211,Student,960.4528911094442,Moderate,Tertiary,Yes
3212,Employed,1541.239948978023,Poor,Secondary,Yes
3213,Unemployed,1658.073784981226,Poor,Tertiary,Yes
3214,Student,6435.194198379613,Moderate,Tertiary,No
3215,Unemployed,2642.572143083973,Moderate,None,Yes
3216,Unemployed,3127.746982918639,Moderate,Secondary,No
3217,Student,6026.970590460393,Good,Secondary,Yes
3218,Unemployed,7923.696261616448,Moderate,Primary,No
3219,Employed,4067.809987427258,Moderate,Secondary,Yes
3220,Employed,482.4015112773933,Poor,Primary,No
3221,Employed,6559.723654601548,Moderate,Primary,No
3222,Unemployed,6878.038541034042,Moderate,Secondary,Yes
3223,Employed,3430.9771776986677,Good,Secondary,No
3224,Unemployed,112.094874275862,Moderate,None,Yes
3225,Student,5759.569177889869,Good,None,No
3226,Employed,7772.237247131107,Poor,Primary,No
3227,Student,2270.754615310679,Poor,Secondary,No
3228,Student,5175.488690898986,Good,Secondary,No
3229,Student,7005.723340158203,Moderate,Secondary,No
3230,Employed,5931.921036733182,Good,None,Yes
3231,Unemployed,7735.608915846043,Good,Tertiary,Yes
3232,Unemployed,4140.3955856048,Poor,None,Yes
3233,Student,8714.149073052567,Poor,None,Yes
3234,Student,3252.1158660750502,Moderate,None,No
3235,Unemployed,1626.3238992665279,Poor,Secondary,No
3236,Unemployed,7864.714497466067,Poor,None,No
3237,Student,200.72042909921922,Poor,Primary,No
3238,Student,9514.158100041315,Poor,None,No
3239,Unemployed,829.3562574528854,Poor,Secondary,Yes
3240,Employed,7898.249662469922,Moderate,Secondary,No
3241,Student,1298.2552698931443,Moderate,Tertiary,No
3242,Student,2878.183127494055,Poor,Secondary,No
3243,Employed,6049.155210032225,Moderate,Primary,Yes
3244,Student,1487.8168615734462,Good,Primary,No
3245,Employed,1063.3975213308765,Moderate,Secondary,No
3246,Employed,9322.632773187359,Moderate,Primary,Yes
3247,Unemployed,7230.960864254531,Moderate,Tertiary,Yes
3248,Student,1286.8897189135396,Poor,Primary,Yes
3249,Student,5239.06013902825,Poor,Tertiary,Yes
3250,Student,8364.845436529724,Moderate,Primary,No
3251,Student,961.4739895069332,Poor,None,No
3252,Employed,8126.036647862222,Poor,Primary,Yes
3253,Unemployed,8444.178850732611,Moderate,Secondary,No
3254,Employed,3481.3214890342883,Good,None,Yes
3255,Unemployed,9955.99131192889,Moderate,Secondary,Yes
3256,Unemployed,3988.5665784313837,Moderate,Primary,No
3257,Employed,9032.506771075532,Moderate,None,No
3258,Employed,8989.578648399878,Good,None,Yes
3259,Student,7163.260082659143,Moderate,None,No
3260,Student,108.35218551046515,Good,Tertiary,No
3261,Unemployed,6859.3976512228355,Good,None,Yes
3262,Employed,1034.4220986787536,Poor,None,Yes
3263,Employed,457.60039523510284,Moderate,Tertiary,No
3264,Employed,1886.6546964817803,Poor,None,Yes
3265,Student,5162.410079785355,Moderate,Primary,No
3266,Employed,4658.130975219459,Moderate,Tertiary,Yes
3267,Unemployed,3955.9779036105087,Good,Secondary,No
3268,Unemployed,5394.640379729836,Good,None,No
3269,Employed,2720.818045471623,Good,Secondary,No
3270,Employed,3198.823029982835,Poor,Tertiary,Yes
3271,Student,2167.1300254725797,Good,Secondary,Yes
3272,Student,4577.673102399654,Good,None,Yes
3273,Employed,7171.118966270995,Moderate,None,No
3274,Employed,5165.317485263662,Good,Tertiary,No
3275,Student,8527.292255573946,Moderate,Secondary,No
3276,Employed,4965.086993787456,Good,Tertiary,Yes
3277,Unemployed,2099.256605469277,Moderate,Tertiary,Yes
3278,Unemployed,5170.564187209621,Poor,Secondary,No
3279,Unemployed,3779.896714998911,Good,Tertiary,Yes
3280,Unemployed,4968.149792840001,Moderate,None,No
3281,Employed,1072.8258468540216,Good,Tertiary,Yes
3282,Unemployed,7788.950561737825,Good,Primary,No
3283,Employed,3533.231814553735,Good,Primary,No
3284,Student,267.26203913081514,Good,Tertiary,Yes
3285,Unemployed,5705.602178318426,Moderate,Tertiary,Yes
3286,Employed,6869.746176627473,Poor,None,No
3287,Student,819.2523211963047,Good,Secondary,No
3288,Student,3812.3907810628225,Good,Primary,No
3289,Unemployed,4848.469541407479,Poor,None,Yes
3290,Employed,5076.901235148558,Poor,Primary,No
3291,Student,453.4416657119146,Moderate,Primary,Yes
3292,Unemployed,6364.509172146074,Poor,Primary,No
3293,Unemployed,1031.4058704132385,Good,Tertiary,Yes
3294,Employed,3570.362121314331,Good,None,No
3295,Employed,5122.461698372467,Moderate,Primary,Yes
3296,Employed,7532.4642499131,Good,Tertiary,Yes
3297,Employed,3717.2036903141066,Moderate,Secondary,No
3298,Student,8230.062723342304,Poor,Tertiary,No
3299,Unemployed,7753.3048333081315,Good,None,Yes
3300,Student,4111.708224585422,Good,None,Yes
3301,Employed,8780.012340681247,Moderate,None,No
3302,Unemployed,9625.535930770984,Good,Primary,No
3303,Student,2780.6647868016908,Moderate,Tertiary,Yes
3304,Unemployed,8234.440553932911,Good,Tertiary,No
3305,Employed,2929.5454290200946,Moderate,Tertiary,No
3306,Employed,6890.540438160841,Good,None,No
3307,Student,6711.268160050793,Good,Secondary,Yes
3308,Employed,7927.130451861234,Moderate,Primary,Yes
3309,Student,2252.765672602159,Good,Tertiary,No
3310,Unemployed,9348.082307498686,Good,Primary,Yes
3311,Unemployed,4351.08550060694,Moderate,Tertiary,Yes
3312,Employed,122.89678299362106,Moderate,None,No
3313,Unemployed,7753.569632711347,Moderate,Primary,Yes
3314,Employed,9323.216389159577,Moderate,Secondary,No
3315,Unemployed,9686.764760841448,Moderate,Primary,No
3316,Student,3691.4081554120944,Poor,Tertiary,No
3317,Unemployed,301.7720883735052,Moderate,Tertiary,Yes
3318,Unemployed,3485.3713944655133,Poor,Primary,Yes
3319,Employed,8848.153549075969,Moderate,None,No
3320,Student,8452.661316775615,Good,Primary,Yes
3321,Employed,3854.3420038367412,Good,Primary,No
3322,Student,1614.9857644235924,Poor,Tertiary,Yes
3323,Unemployed,6482.539582332577,Poor,Secondary,Yes
3324,Employed,6673.786928763933,Good,Secondary,No
3325,Student,6343.990435521301,Poor,None,Yes
3326,Employed,1591.509592268483,Moderate,Secondary,No
3327,Unemployed,8261.008274305692,Moderate,Primary,No
3328,Employed,460.47371328539987,Moderate,None,No
3329,Unemployed,9701.830676349491,Moderate,Secondary,Yes
3330,Student,9026.294644291616,Poor,Tertiary,No
3331,Student,9941.729677452578,Poor,Primary,Yes
3332,Student,6033.341752677648,Poor,Secondary,No
3333,Employed,6075.494392723383,Good,Primary,No
3334,Student,3906.9110129184082,Moderate,Tertiary,Yes
3335,Employed,1217.708672070564,Good,None,No
3336,Student,7572.71528736497,Moderate,Secondary,Yes
3337,Unemployed,4967.061051176852,Moderate,Primary,Yes
3338,Unemployed,3706.8352511488647,Poor,Tertiary,Yes
3339,Unemployed,8768.468607145787,Moderate,None,Yes
3340,Unemployed,119.24620789122632,Poor,Secondary,No
3341,Employed,4837.060062793808,Moderate,None,No
3342,Unemployed,6557.810146217584,Good,None,Yes
3343,Unemployed,140.1949039303347,Poor,Tertiary,No
3344,Employed,7303.345588146332,Good,None,Yes
3345,Student,1743.4876288299224,Poor,Tertiary,No
3346,Student,8470.114594825858,Moderate,Primary,No
3347,Employed,7668.6782689349575,Poor,Primary,Yes
3348,Student,1483.7200469528973,Poor,None,No
3349,Employed,5782.65424532724,Moderate,Secondary,Yes
3350,Student,7597.602855313923,Moderate,Primary,No
3351,Unemployed,390.1917025474049,Poor,Tertiary,Yes
3352,Unemployed,5494.753787362347,Poor,None,Yes
3353,Unemployed,601.0904131916546,Moderate,None,Yes
3354,Employed,6233.5617706815265,Poor,Primary,Yes
3355,Unemployed,8833.094792977088,Poor,Secondary,Yes
3356,Unemployed,4008.3320892217503,Moderate,Tertiary,Yes
3357,Employed,4416.254675993954,Poor,Secondary,Yes
3358,Employed,9774.92582164475,Poor,Tertiary,No
3359,Employed,4614.634331262841,Poor,None,Yes
3360,Student,2926.8998275124954,Good,Tertiary,No
3361,Employed,9963.84907639704,Moderate,Secondary,Yes
