infrastructure_key,road_quality,access_to_water,access_to_electricity,mobile_network_coverage,internet_coverage
1164,Excellent,High,Full Access,3G,Limited Access
1165,Good,Moderate,No Access,4G,Full Access
1166,Good,Moderate,Partial Access,5G,Full Access
1167,Fair,High,No Access,4G,Limited Access
1168,Good,High,No Access,4G,Limited Access
1169,Fair,Moderate,No Access,3G,Full Access
1170,Poor,Limited,Partial Access,4G,No Access
1171,Good,Limited,Partial Access,4G,Limited Access
1172,Excellent,Limited,No Access,3G,Limited Access
1173,Fair,Limited,No Access,3G,Limited Access
1174,Poor,Limited,No Access,2G,No Access
1175,Fair,High,No Access,2G,Limited Access
1176,Good,High,No Access,4G,Limited Access
1177,Good,High,Full Access,2G,Full Access
1178,Fair,Moderate,No Access,4G,No Access
1179,Good,Limited,Partial Access,4G,No Access
1180,Excellent,Moderate,No Access,2G,Full Access
1181,Good,Moderate,Full Access,5G,No Access
1182,Poor,Limited,No Access,5G,No Access
1183,Poor,Limited,Partial Access,2G,Full Access
1184,Excellent,Limited,No Access,2G,Full Access
1185,Poor,Moderate,Partial Access,5G,No Access
1186,Good,Moderate,Full Access,2G,No Access
1187,Excellent,Limited,No Access,4G,No Access
1188,Poor,High,Full Access,4G,Limited Access
1189,Fair,Limited,Full Access,4G,No Access
1190,Fair,Moderate,Partial Access,4G,No Access
1191,Fair,Moderate,No Access,2G,Full Access
1192,Fair,Limited,Full Access,4G,No Access
1193,Good,Limited,Partial Access,3G,No Access
1194,Good,Moderate,No Access,5G,No Access
1195,Good,Limited,No Access,3G,Full Access
1196,Good,High,Partial Access,3G,Full Access
1197,Excellent,Limited,No Access,5G,No Access
1198,Good,Moderate,Full Access,2G,Full Access
1199,Good,High,Full Access,5G,Full Access
1200,Good,Moderate,Partial Access,5G,Limited Access
1201,Excellent,Moderate,Partial Access,3G,Full Access
1202,Good,Moderate,Partial Access,5G,No Access
1203,Good,Moderate,No Access,3G,No Access
1204,Good,Moderate,Full Access,5G,Limited Access
1205,Poor,Moderate,No Access,4G,No Access
1206,Good,Moderate,No Access,2G,Limited Access
1207,Fair,High,Full Access,5G,Limited Access
1208,Poor,Moderate,Partial Access,4G,Full Access
1209,Good,Limited,No Access,5G,Full Access
1210,Excellent,Moderate,Full Access,4G,Limited Access
1211,Fair,Limited,Partial Access,5G,Limited Access
1212,Poor,High,Full Access,4G,No Access
1213,Good,High,No Access,3G,No Access
1214,Fair,High,Full Access,2G,Full Access
1215,Excellent,Limited,No Access,4G,No Access
1216,Poor,High,No Access,5G,Full Access
1217,Excellent,Limited,No Access,3G,Limited Access
1218,Poor,Limited,No Access,4G,No Access
1219,Fair,Moderate,No Access,4G,Full Access
1220,Fair,Moderate,Full Access,5G,No Access
1221,Poor,High,No Access,5G,Limited Access
1222,Good,Moderate,Partial Access,4G,Limited Access
1223,Fair,Limited,Full Access,4G,Full Access
1224,Fair,Moderate,No Access,5G,Full Access
1225,Excellent,Moderate,Partial Access,4G,Limited Access
1226,Excellent,Moderate,Full Access,3G,Limited Access
1227,Good,Moderate,Partial Access,5G,Limited Access
1228,Excellent,Moderate,No Access,3G,Full Access
1229,Poor,Limited,Full Access,2G,Full Access
1230,Fair,Limited,No Access,5G,Full Access
1231,Fair,Limited,Full Access,2G,Limited Access
1232,Good,High,Partial Access,2G,No Access
1233,Good,Limited,No Access,4G,Limited Access
1234,Good,Moderate,No Access,5G,Full Access
1235,Good,High,No Access,5G,Full Access
1236,Fair,High,Partial Access,5G,Full Access
1237,Good,High,Full Access,2G,Limited Access
1238,Poor,Moderate,Full Access,4G,Full Access
1239,Fair,Moderate,Partial Access,3G,Full Access
1240,Excellent,High,Partial Access,3G,Limited Access
1241,Fair,Moderate,Partial Access,5G,Limited Access
1242,Poor,Limited,Full Access,2G,Limited Access
1243,Excellent,Moderate,No Access,3G,Full Access
1244,Excellent,Moderate,No Access,4G,Limited Access
1245,Excellent,Moderate,Full Access,5G,Limited Access
1246,Fair,High,Partial Access,2G,No Access
1247,Poor,High,Partial Access,3G,Full Access
1248,Excellent,Limited,Full Access,2G,Full Access
1249,Poor,Limited,No Access,4G,Full Access
1250,Fair,High,Partial Access,3G,No Access
1251,Fair,Limited,No Access,2G,Limited Access
1252,Good,Limited,No Access,5G,No Access
1253,Excellent,High,No Access,4G,Full Access
1254,Excellent,High,Full Access,2G,No Access
1255,Fair,Limited,Partial Access,2G,No Access
1256,Poor,Limited,No Access,2G,Full Access
1257,Excellent,High,Full Access,5G,Full Access
1258,Good,Moderate,No Access,2G,Limited Access
1259,Fair,High,No Access,5G,Limited Access
1260,Poor,Limited,No Access,5G,Full Access
1261,Poor,High,Full Access,3G,No Access
1262,Fair,High,No Access,4G,Full Access
1263,Fair,Limited,Full Access,4G,Full Access
1264,Poor,Limited,Partial Access,2G,No Access
1265,Fair,High,Full Access,2G,No Access
1266,Good,Limited,Partial Access,3G,Limited Access
1267,Poor,High,No Access,2G,No Access
1268,Excellent,Moderate,Partial Access,2G,Limited Access
1269,Fair,Moderate,No Access,4G,Limited Access
1270,Good,Moderate,Full Access,2G,Full Access
1271,Good,High,Partial Access,2G,Limited Access
1272,Good,Limited,No Access,4G,Full Access
1273,Poor,Limited,Full Access,4G,Limited Access
1274,Good,Limited,Partial Access,2G,Limited Access
1275,Poor,Moderate,Partial Access,5G,No Access
1276,Excellent,Limited,Partial Access,5G,Full Access
1277,Poor,High,Partial Access,3G,Full Access
1278,Good,Limited,Partial Access,3G,Full Access
1279,Poor,Limited,No Access,3G,Full Access
1280,Poor,Moderate,Partial Access,5G,Limited Access
1281,Good,Limited,Full Access,2G,No Access
1282,Excellent,High,Partial Access,4G,Limited Access
1283,Fair,High,Full Access,3G,Limited Access
1284,Excellent,Limited,Full Access,4G,Full Access
1285,Good,Limited,No Access,5G,No Access
1286,Excellent,Moderate,No Access,3G,Full Access
1287,Excellent,Moderate,No Access,3G,Full Access
1288,Fair,High,Full Access,5G,Limited Access
1289,Poor,High,Full Access,5G,Limited Access
1290,Excellent,Moderate,No Access,2G,Limited Access
1291,Excellent,High,Full Access,3G,Full Access
1292,Fair,Moderate,Full Access,5G,Full Access
1293,Excellent,High,No Access,2G,Limited Access
1294,Fair,Limited,No Access,3G,No Access
1295,Good,Moderate,Full Access,3G,Full Access
1296,Fair,High,Full Access,5G,Full Access
1297,Poor,Limited,No Access,4G,Full Access
1298,Good,Moderate,Full Access,3G,Limited Access
1299,Good,Moderate,No Access,4G,Full Access
1300,Good,Moderate,Full Access,5G,No Access
1301,Excellent,Moderate,No Access,5G,Limited Access
1302,Good,Moderate,Partial Access,5G,Limited Access
1303,Poor,Moderate,Partial Access,4G,No Access
1304,Good,Limited,Full Access,3G,Limited Access
1305,Excellent,Limited,No Access,5G,No Access
1306,Good,Moderate,No Access,4G,Full Access
1307,Fair,Moderate,Full Access,3G,Limited Access
1308,Poor,Moderate,Full Access,5G,Full Access
1309,Poor,Limited,Full Access,5G,No Access
1310,Good,High,No Access,5G,Full Access
1311,Good,Moderate,Partial Access,4G,No Access
1312,Excellent,Moderate,Partial Access,3G,Full Access
1313,Fair,Moderate,Full Access,4G,No Access
1314,Fair,High,No Access,4G,No Access
1315,Good,Moderate,Partial Access,3G,Limited Access
1316,Good,High,Full Access,2G,No Access
1317,Good,Moderate,Partial Access,5G,No Access
1318,Good,Moderate,Partial Access,2G,Full Access
1319,Good,Limited,Partial Access,2G,Limited Access
1320,Poor,Moderate,Full Access,5G,No Access
1321,Poor,High,Partial Access,4G,Limited Access
1322,Fair,Moderate,Full Access,4G,Full Access
1323,Fair,Limited,Full Access,3G,No Access
1324,Fair,Moderate,Partial Access,5G,Full Access
1325,Poor,Limited,Partial Access,3G,Limited Access
1326,Good,High,Partial Access,4G,Limited Access
1327,Poor,Limited,No Access,4G,No Access
1328,Fair,High,No Access,4G,Limited Access
1329,Poor,Limited,No Access,2G,No Access
1330,Fair,Moderate,Full Access,4G,Limited Access
1331,Poor,Moderate,Partial Access,3G,No Access
1332,Good,Limited,Partial Access,5G,No Access
1333,Fair,Moderate,Full Access,4G,Full Access
1334,Poor,Limited,Full Access,4G,Full Access
1335,Fair,Moderate,Full Access,2G,No Access
1336,Poor,High,Partial Access,4G,Limited Access
1337,Fair,High,Full Access,4G,Limited Access
1338,Fair,Moderate,Partial Access,2G,Full Access
1339,Fair,Moderate,Partial Access,2G,No Access
1340,Poor,Moderate,No Access,4G,No Access
1341,Fair,Limited,Partial Access,2G,No Access
1342,Good,High,Partial Access,2G,Full Access
1343,Poor,High,Partial Access,2G,Full Access
1344,Excellent,Limited,Partial Access,2G,Full Access
1345,Excellent,High,Partial Access,5G,No Access
1346,Excellent,Moderate,No Access,3G,Limited Access
1347,Excellent,Limited,Partial Access,5G,No Access
1348,Poor,Limited,Partial Access,2G,No Access
1349,Excellent,Moderate,Full Access,4G,Full Access
1350,Fair,Moderate,Full Access,4G,No Access
1351,Fair,Limited,No Access,5G,Full Access
1352,Fair,Limited,Partial Access,2G,No Access
1353,Excellent,Moderate,Full Access,3G,Limited Access
1354,Excellent,Limited,No Access,5G,No Access
1355,Excellent,High,No Access,3G,Limited Access
1356,Good,High,No Access,3G,Limited Access
1357,Poor,High,Full Access,5G,Full Access
1358,Poor,Moderate,No Access,5G,Limited Access
1359,Poor,Moderate,Full Access,5G,Full Access
1360,Excellent,High,No Access,4G,No Access
1361,Excellent,High,No Access,2G,Limited Access
1362,Fair,Moderate,No Access,3G,No Access
1363,Good,Moderate,Full Access,5G,No Access
1364,Good,Limited,Full Access,2G,No Access
1365,Excellent,Limited,Partial Access,3G,Limited Access
1366,Fair,Limited,Partial Access,4G,Limited Access
1367,Good,Limited,Full Access,5G,No Access
1368,Good,Moderate,Partial Access,3G,Full Access
1369,Poor,Limited,Full Access,2G,Full Access
1370,Poor,Limited,Partial Access,3G,No Access
1371,Fair,Moderate,Partial Access,4G,Full Access
1372,Poor,High,Partial Access,4G,No Access
1373,Fair,Limited,No Access,5G,No Access
1374,Good,High,Partial Access,2G,Full Access
1375,Good,Limited,No Access,5G,Limited Access
1376,Fair,Moderate,Partial Access,4G,Limited Access
1377,Poor,High,Partial Access,2G,Limited Access
1378,Poor,Limited,No Access,4G,Full Access
1379,Fair,Moderate,Partial Access,5G,Limited Access
1380,Good,Limited,No Access,5G,Limited Access
1381,Fair,Limited,Full Access,5G,Limited Access
1382,Good,High,Full Access,4G,Limited Access
1383,Fair,High,Partial Access,2G,Full Access
1384,Excellent,High,Full Access,2G,No Access
1385,Good,Moderate,Full Access,3G,Limited Access
1386,Excellent,High,No Access,5G,Full Access
1387,Excellent,Moderate,No Access,5G,Full Access
1388,Fair,Moderate,No Access,4G,Limited Access
1389,Excellent,High,No Access,2G,Limited Access
1390,Poor,Moderate,Partial Access,5G,No Access
1391,Excellent,Moderate,Partial Access,2G,No Access
1392,Excellent,Limited,Full Access,5G,Limited Access
1393,Good,Limited,Partial Access,3G,Limited Access
1394,Excellent,High,No Access,2G,No Access
1395,Good,High,Partial Access,4G,No Access
1396,Good,High,Partial Access,2G,Limited Access
1397,Poor,High,No Access,4G,No Access
1398,Fair,Limited,Full Access,5G,Full Access
1399,Poor,High,Partial Access,3G,No Access
1400,Good,Limited,Partial Access,4G,Limited Access
1401,Fair,High,Partial Access,4G,Limited Access
1402,Fair,Moderate,Partial Access,5G,No Access
1403,Poor,High,Partial Access,5G,No Access
1404,Poor,Moderate,Partial Access,2G,No Access
1405,Good,High,No Access,3G,Full Access
1406,Good,High,No Access,3G,Full Access
1407,Excellent,Limited,Full Access,4G,Limited Access
1408,Fair,Moderate,No Access,2G,No Access
1409,Poor,High,Full Access,3G,Full Access
1410,Good,High,No Access,5G,Limited Access
1411,Good,Moderate,No Access,3G,Limited Access
1412,Good,Limited,Full Access,5G,Full Access
1413,Fair,High,No Access,4G,Limited Access
1414,Fair,High,Partial Access,2G,Full Access
1415,Poor,High,Partial Access,5G,Limited Access
1416,Excellent,Moderate,No Access,4G,Full Access
1417,Good,High,No Access,5G,No Access
1418,Good,Limited,Full Access,2G,No Access
1419,Good,Moderate,Partial Access,5G,Full Access
1420,Poor,Moderate,Partial Access,2G,Limited Access
1421,Fair,Moderate,No Access,4G,No Access
1422,Excellent,High,Full Access,4G,No Access
1423,Good,Limited,Full Access,2G,Full Access
1424,Good,Limited,No Access,5G,Full Access
1425,Poor,High,Partial Access,2G,Full Access
1426,Good,High,No Access,5G,Limited Access
1427,Fair,Limited,No Access,3G,Limited Access
1428,Excellent,Limited,Partial Access,2G,No Access
1429,Poor,High,No Access,3G,No Access
1430,Excellent,Moderate,Full Access,5G,Limited Access
1431,Fair,Moderate,No Access,4G,Limited Access
1432,Fair,Moderate,Full Access,5G,Limited Access
1433,Good,Limited,Partial Access,4G,Full Access
1434,Fair,High,No Access,3G,Full Access
1435,Fair,Limited,No Access,3G,Full Access
1436,Excellent,Moderate,No Access,2G,No Access
1437,Excellent,Limited,Full Access,4G,Full Access
1438,Poor,Moderate,Full Access,2G,Full Access
1439,Poor,High,No Access,2G,No Access
1440,Poor,Limited,Full Access,2G,No Access
1441,Excellent,High,No Access,4G,Full Access
1442,Good,Moderate,No Access,3G,No Access
1443,Fair,Moderate,No Access,5G,Full Access
1444,Good,Limited,Partial Access,4G,Limited Access
1445,Good,High,Full Access,5G,Limited Access
1446,Good,Limited,Partial Access,2G,Limited Access
1447,Fair,Limited,No Access,5G,Full Access
1448,Poor,High,Partial Access,4G,No Access
1449,Good,Moderate,Full Access,4G,No Access
1450,Fair,Limited,Partial Access,4G,Limited Access
1451,Fair,Moderate,No Access,4G,No Access
1452,Excellent,Limited,Partial Access,3G,Limited Access
1453,Poor,High,Full Access,3G,Full Access
1454,Good,Moderate,No Access,3G,Limited Access
1455,Poor,Limited,No Access,3G,Full Access
1456,Excellent,Limited,Full Access,5G,Limited Access
1457,Fair,High,Partial Access,2G,Limited Access
1458,Excellent,Moderate,Full Access,5G,Full Access
1459,Poor,Limited,Partial Access,4G,Full Access
1460,Excellent,High,No Access,3G,Limited Access
1461,Fair,Limited,No Access,4G,No Access
1462,Excellent,Limited,No Access,5G,Limited Access
1463,Good,Moderate,No Access,3G,Limited Access
1464,Fair,Limited,Full Access,5G,Limited Access
1465,Poor,Moderate,Partial Access,3G,Full Access
1466,Poor,Limited,Full Access,3G,Limited Access
1467,Good,Moderate,No Access,2G,No Access
1468,Poor,Limited,No Access,4G,Full Access
1469,Fair,Moderate,Full Access,3G,No Access
1470,Good,Moderate,No Access,4G,Full Access
1471,Poor,Moderate,No Access,5G,Full Access
1472,Excellent,Moderate,Full Access,2G,Limited Access
1473,Fair,High,Partial Access,5G,No Access
1474,Excellent,High,Partial Access,2G,No Access
1475,Excellent,Moderate,Partial Access,4G,Limited Access
1476,Poor,High,No Access,4G,Full Access
1477,Poor,Limited,No Access,2G,Limited Access
1478,Good,Limited,Partial Access,3G,No Access
1479,Good,Moderate,No Access,5G,Limited Access
1480,Poor,Moderate,Full Access,4G,Full Access
1481,Good,Limited,Partial Access,2G,Full Access
1482,Poor,Moderate,No Access,4G,Limited Access
1483,Good,Limited,Full Access,2G,No Access
1484,Good,High,Full Access,3G,Full Access
1485,Fair,Limited,No Access,4G,Full Access
1486,Good,Limited,Partial Access,4G,Full Access
1487,Excellent,Moderate,Full Access,5G,Limited Access
1488,Good,Moderate,Partial Access,3G,Limited Access
1489,Poor,Moderate,Partial Access,4G,Full Access
1490,Good,Limited,No Access,5G,No Access
1491,Poor,Moderate,Partial Access,3G,Limited Access
1492,Good,High,No Access,3G,Full Access
1493,Excellent,High,Full Access,2G,Limited Access
1494,Poor,Limited,Partial Access,3G,Limited Access
1495,Good,Moderate,Full Access,4G,Limited Access
1496,Poor,Moderate,Partial Access,4G,No Access
1497,Excellent,High,Full Access,4G,Full Access
1498,Excellent,Limited,Full Access,2G,No Access
1499,Good,Moderate,No Access,4G,Full Access
1500,Poor,Limited,Full Access,3G,No Access
1501,Good,Limited,Partial Access,2G,Limited Access
1502,Excellent,Moderate,No Access,4G,No Access
1503,Fair,Moderate,No Access,3G,No Access
1504,Fair,Limited,Partial Access,5G,Limited Access
1505,Poor,Limited,Full Access,5G,Limited Access
1506,Fair,High,Full Access,5G,Limited Access
1507,Excellent,Moderate,Partial Access,4G,Full Access
1508,Poor,Limited,No Access,5G,Full Access
1509,Poor,Limited,Full Access,2G,Full Access
1510,Excellent,High,Partial Access,4G,Limited Access
1511,Good,Moderate,Partial Access,4G,Full Access
1512,Poor,High,Partial Access,5G,Limited Access
1513,Good,Limited,No Access,2G,No Access
1514,Excellent,High,Full Access,5G,Full Access
1515,Excellent,High,Partial Access,2G,Full Access
1516,Fair,Limited,Full Access,3G,No Access
1517,Fair,High,Partial Access,2G,No Access
1518,Poor,Limited,Full Access,5G,Limited Access
1519,Good,High,Partial Access,4G,Limited Access
1520,Excellent,Limited,No Access,5G,Limited Access
1521,Poor,Limited,Full Access,2G,Full Access
1522,Good,Limited,No Access,5G,Full Access
1523,Poor,High,Partial Access,2G,Full Access
1524,Good,High,No Access,3G,Full Access
1525,Fair,Limited,Partial Access,2G,Full Access
1526,Good,High,Full Access,2G,Full Access
1527,Fair,Limited,Full Access,3G,No Access
1528,Excellent,High,Partial Access,5G,No Access
1529,Excellent,High,Full Access,4G,No Access
1530,Excellent,Moderate,Full Access,3G,No Access
1531,Excellent,Moderate,Partial Access,5G,Full Access
1532,Good,High,Full Access,3G,Full Access
1533,Poor,Limited,No Access,4G,Full Access
1534,Excellent,Limited,Partial Access,4G,No Access
1535,Good,Moderate,Full Access,2G,No Access
1536,Fair,Moderate,Full Access,5G,Full Access
1537,Excellent,Limited,Partial Access,4G,Limited Access
1538,Good,Limited,No Access,3G,No Access
1539,Excellent,Moderate,Full Access,4G,No Access
1540,Excellent,Limited,Full Access,2G,No Access
1541,Excellent,High,No Access,5G,Full Access
1542,Good,High,Full Access,2G,No Access
1543,Excellent,High,No Access,5G,Limited Access
1544,Fair,Moderate,No Access,2G,No Access
1545,Excellent,Limited,Full Access,2G,Limited Access
1546,Poor,Limited,No Access,3G,Limited Access
1547,Excellent,Limited,Partial Access,3G,Full Access
1548,Good,High,No Access,2G,Limited Access
1549,Fair,Moderate,No Access,3G,No Access
1550,Excellent,Moderate,No Access,2G,No Access
1551,Poor,Limited,Full Access,5G,Limited Access
1552,Poor,High,No Access,3G,No Access
1553,Poor,High,No Access,3G,No Access
1554,Excellent,Limited,No Access,5G,Full Access
1555,Good,Moderate,No Access,2G,Limited Access
1556,Good,Moderate,Partial Access,3G,Limited Access
1557,Fair,Moderate,No Access,3G,Limited Access
1558,Good,Limited,Partial Access,2G,Full Access
1559,Poor,High,No Access,2G,Limited Access
1560,Excellent,Moderate,Partial Access,2G,Limited Access
1561,Poor,Moderate,Full Access,2G,Full Access
1562,Excellent,Limited,Partial Access,4G,Full Access
1563,Excellent,Moderate,Full Access,4G,Full Access
1564,Good,Moderate,Full Access,2G,Full Access
1565,Excellent,Limited,Full Access,5G,No Access
1566,Fair,Limited,Partial Access,4G,Limited Access
1567,Good,Limited,No Access,4G,Limited Access
1568,Excellent,Moderate,Partial Access,2G,Full Access
1569,Fair,Moderate,Partial Access,3G,Full Access
1570,Good,Moderate,Full Access,3G,Limited Access
1571,Fair,Limited,No Access,4G,Limited Access
1572,Fair,High,Partial Access,5G,No Access
1573,Good,Limited,No Access,5G,Limited Access
1574,Poor,High,No Access,2G,Full Access
1575,Poor,Limited,Full Access,4G,No Access
1576,Poor,Limited,Full Access,5G,Full Access
1577,Poor,Moderate,Partial Access,5G,No Access
1578,Poor,High,Full Access,3G,Limited Access
1579,Fair,Limited,No Access,5G,No Access
1580,Fair,Limited,No Access,4G,Limited Access
1581,Poor,High,No Access,2G,Limited Access
1582,Good,Moderate,Partial Access,4G,No Access
1583,Poor,Limited,No Access,2G,No Access
1584,Good,High,Full Access,3G,Limited Access
1585,Poor,High,Partial Access,3G,No Access
1586,Poor,Limited,No Access,5G,No Access
1587,Poor,Limited,Full Access,4G,Limited Access
1588,Poor,Limited,No Access,5G,Limited Access
1589,Fair,Limited,Partial Access,3G,No Access
1590,Poor,High,Full Access,2G,Limited Access
1591,Poor,Moderate,No Access,4G,Full Access
1592,Excellent,Moderate,No Access,4G,Limited Access
1593,Good,Moderate,Partial Access,5G,Limited Access
1594,Excellent,Limited,No Access,2G,No Access
1595,Good,Moderate,Full Access,2G,No Access
1596,Poor,High,Partial Access,3G,Full Access
1597,Good,Moderate,Full Access,3G,No Access
1598,Excellent,High,No Access,3G,Full Access
1599,Excellent,Limited,No Access,4G,Full Access
1600,Poor,Moderate,Partial Access,3G,Limited Access
1601,Good,High,Partial Access,5G,Full Access
1602,Fair,Moderate,No Access,5G,No Access
1603,Fair,High,Full Access,3G,No Access
1604,Poor,Limited,Partial Access,2G,Limited Access
1605,Fair,Moderate,Full Access,2G,Full Access
1606,Poor,Limited,Partial Access,3G,Limited Access
1607,Fair,Limited,Partial Access,2G,No Access
1608,Good,High,Partial Access,4G,Limited Access
1609,Good,High,Full Access,2G,No Access
1610,Fair,High,Partial Access,5G,Full Access
1611,Good,Limited,No Access,4G,No Access
1612,Excellent,High,Full Access,3G,Full Access
1613,Poor,High,Partial Access,2G,Limited Access
1614,Poor,Limited,Partial Access,5G,Limited Access
1615,Excellent,High,No Access,3G,Limited Access
1616,Poor,High,Partial Access,2G,Limited Access
1617,Fair,High,Partial Access,4G,Full Access
1618,Excellent,High,Full Access,5G,No Access
1619,Good,Limited,Partial Access,2G,Limited Access
1620,Excellent,Moderate,Full Access,3G,No Access
1621,Good,High,Full Access,2G,No Access
1622,Fair,High,Full Access,4G,Limited Access
1623,Excellent,Limited,Full Access,2G,Limited Access
1624,Good,Moderate,Full Access,3G,Limited Access
1625,Fair,Limited,Full Access,3G,Limited Access
1626,Good,Limited,Partial Access,4G,No Access
1627,Good,High,Full Access,2G,No Access
1628,Fair,Moderate,Partial Access,5G,Full Access
1629,Good,Limited,Partial Access,3G,Limited Access
1630,Excellent,Moderate,Full Access,3G,Full Access
1631,Poor,High,No Access,2G,No Access
1632,Fair,Moderate,Partial Access,4G,Limited Access
1633,Excellent,Moderate,Partial Access,4G,Full Access
1634,Poor,Limited,No Access,4G,Limited Access
1635,Good,Limited,Partial Access,5G,Limited Access
1636,Good,High,Full Access,5G,Limited Access
1637,Excellent,High,Full Access,3G,No Access
1638,Excellent,High,Full Access,2G,Limited Access
1639,Excellent,Limited,Full Access,4G,Limited Access
1640,Fair,Limited,Full Access,5G,Full Access
1641,Poor,Limited,Partial Access,5G,No Access
1642,Excellent,High,Partial Access,2G,Full Access
1643,Fair,Limited,Partial Access,4G,No Access
1644,Excellent,High,No Access,2G,No Access
1645,Fair,Moderate,Full Access,2G,No Access
1646,Fair,Moderate,Partial Access,4G,Limited Access
1647,Fair,High,Full Access,2G,Limited Access
1648,Poor,High,Full Access,5G,Full Access
1649,Excellent,Limited,Partial Access,5G,Limited Access
1650,Poor,Limited,Partial Access,4G,No Access
1651,Excellent,High,No Access,4G,Full Access
1652,Fair,Limited,No Access,3G,No Access
1653,Fair,High,Partial Access,3G,Limited Access
1654,Good,Limited,Partial Access,2G,Full Access
1655,Good,Moderate,No Access,2G,No Access
1656,Good,Moderate,Partial Access,2G,Full Access
1657,Fair,Moderate,Partial Access,3G,No Access
1658,Excellent,High,Partial Access,4G,Full Access
1659,Good,Moderate,Partial Access,5G,Full Access
1660,Poor,Limited,No Access,4G,Limited Access
1661,Fair,Moderate,No Access,2G,Limited Access
1662,Poor,Moderate,Partial Access,5G,No Access
1663,Fair,Moderate,Partial Access,2G,No Access
1664,Good,Moderate,No Access,5G,Limited Access
1665,Excellent,High,Partial Access,2G,Limited Access
1666,Poor,High,Partial Access,5G,No Access
1667,Fair,Moderate,No Access,5G,Full Access
1668,Good,Moderate,Full Access,3G,No Access
1669,Good,Moderate,Partial Access,2G,No Access
1670,Poor,High,Full Access,3G,Limited Access
1671,Fair,Moderate,No Access,3G,Full Access
1672,Excellent,Limited,No Access,3G,Full Access
1673,Fair,High,No Access,3G,Full Access
1674,Excellent,High,No Access,3G,Limited Access
1675,Fair,Moderate,No Access,2G,Full Access
1676,Excellent,Limited,Partial Access,2G,Limited Access
1677,Good,Moderate,Full Access,3G,Limited Access
1678,Good,Limited,No Access,2G,Limited Access
1679,Poor,Moderate,Full Access,4G,Full Access
1680,Good,High,Partial Access,3G,Limited Access
1681,Excellent,Limited,Full Access,3G,Full Access
1682,Poor,Limited,Partial Access,4G,Limited Access
1683,Good,Limited,No Access,4G,No Access
1684,Good,Limited,Partial Access,2G,No Access
1685,Excellent,Moderate,No Access,5G,Full Access
1686,Good,High,Partial Access,2G,Full Access
1687,Poor,Limited,Partial Access,3G,Full Access
1688,Good,Limited,Full Access,3G,No Access
1689,Fair,Moderate,Full Access,3G,Full Access
1690,Excellent,High,Partial Access,4G,Full Access
1691,Fair,Moderate,Partial Access,5G,Full Access
1692,Excellent,Moderate,Full Access,2G,Limited Access
1693,Poor,High,Full Access,5G,Limited Access
1694,Excellent,Moderate,Full Access,5G,Limited Access
1695,Poor,High,Partial Access,2G,Full Access
1696,Fair,High,Partial Access,4G,Full Access
1697,Fair,Limited,No Access,2G,Full Access
1698,Fair,Moderate,No Access,5G,Full Access
1699,Poor,High,Partial Access,4G,No Access
1700,Poor,Moderate,Partial Access,2G,Full Access
1701,Poor,Limited,Full Access,5G,Full Access
1702,Fair,Limited,Partial Access,5G,Limited Access
1703,Excellent,High,Full Access,3G,Full Access
1704,Poor,Limited,Full Access,3G,Limited Access
1705,Excellent,Limited,Full Access,2G,Full Access
1706,Excellent,Limited,No Access,3G,No Access
1707,Fair,Moderate,Partial Access,5G,No Access
1708,Good,Moderate,Full Access,2G,No Access
1709,Excellent,Limited,No Access,5G,Full Access
1710,Good,Limited,Partial Access,2G,Full Access
1711,Good,Limited,No Access,4G,No Access
1712,Fair,Moderate,Partial Access,5G,Limited Access
1713,Poor,Moderate,No Access,2G,No Access
1714,Fair,Moderate,No Access,3G,Full Access
1715,Fair,Moderate,Partial Access,5G,Limited Access
1716,Fair,High,Full Access,4G,Limited Access
1717,Fair,High,No Access,4G,Full Access
1718,Poor,High,Full Access,4G,Limited Access
1719,Fair,Moderate,Full Access,5G,Limited Access
1720,Poor,Moderate,Full Access,5G,Limited Access
1721,Excellent,Moderate,Partial Access,5G,Limited Access
1722,Poor,Moderate,No Access,5G,Limited Access
1723,Fair,Limited,No Access,3G,No Access
1724,Good,Moderate,Partial Access,2G,Full Access
1725,Fair,Moderate,No Access,4G,No Access
1726,Fair,Limited,Partial Access,2G,Limited Access
1727,Fair,Moderate,No Access,3G,Full Access
1728,Fair,Limited,No Access,2G,Full Access
1729,Fair,Moderate,Partial Access,3G,Full Access
1730,Excellent,High,No Access,3G,Limited Access
1731,Fair,High,Partial Access,3G,No Access
1732,Fair,Limited,No Access,3G,Limited Access
1733,Good,High,Partial Access,3G,No Access
1734,Good,High,Full Access,4G,Limited Access
1735,Fair,Limited,Partial Access,5G,Limited Access
1736,Good,Limited,No Access,2G,Full Access
1737,Poor,Limited,Full Access,2G,Limited Access
1738,Excellent,Limited,No Access,2G,Full Access
1739,Poor,Moderate,No Access,4G,Limited Access
1740,Fair,Moderate,No Access,2G,No Access
1741,Poor,Limited,Full Access,5G,Full Access
1742,Good,High,Partial Access,5G,Full Access
1743,Good,High,No Access,2G,Full Access
1744,Fair,Moderate,Full Access,4G,Full Access
1745,Fair,Moderate,Full Access,5G,No Access
1746,Fair,Limited,Partial Access,5G,Limited Access
1747,Fair,Limited,Full Access,3G,Limited Access
1748,Fair,Limited,Full Access,5G,Full Access
1749,Fair,Moderate,Partial Access,4G,Limited Access
1750,Good,High,Partial Access,5G,No Access
